Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,222.66,1,79.77,1,142.89,2016-01-31,ec2016
2,Aliona SAVCHENKO / Bruno MASSOT,GER,200.78,2,75.54,3,125.24,2016-01-31,ec2016
3,Evgenia TARASOVA / Vladimir MOROZOV,RUS,197.55,3,70.17,2,127.38,2016-01-31,ec2016
4,Vanessa JAMES / Morgan CIPRES,FRA,185.55,5,62.1,5,123.45,2016-01-31,ec2016
5,Valentina MARCHEI / Ondrej HOTAREK,ITA,182.61,8,58.47,4,124.14,2016-01-31,ec2016
6,Nicole DELLA MONICA / Matteo GUARISE,ITA,178.97,6,61.51,6,117.46,2016-01-31,ec2016
7,Kristina ASTAKHOVA / Alexei ROGONOV,RUS,174.72,7,60.63,7,114.09,2016-01-31,ec2016
8,Mari VARTMANN / Ruben BLOMMAERT,GER,171.3,4,62.9,8,108.4,2016-01-31,ec2016
9,Miriam ZIEGLER / Severin KIEFER,AUT,149.07,9,52.96,10,96.11,2016-01-31,ec2016
10,Tatiana DANILOVA / Mikalai KAMIANCHUK,BLR,147.36,10,48.72,9,98.64,2016-01-31,ec2016
11,Goda BUTKUTE / Nikita ERMOLAEV,LTU,139.56,11,46.85,11,92.71,2016-01-31,ec2016
12,Bianca MANACORDA / Niccolo MACII,ITA,130.0,12,44.71,12,85.29,2016-01-31,ec2016
13,Adel TANKOVA / Evgeni KRASNOPOLSKI,ISR,114.56,14,37.81,13,76.75,2016-01-31,ec2016
14,Anna Marie PEARCE / Mark MAGYAR,HUN,110.55,16,36.0,14,74.55,2016-01-31,ec2016
15,Marcelina LECH / Aritz MAESTU,ESP,109.11,13,40.46,15,68.65,2016-01-31,ec2016
16,Alexandra HERBRIKOVA / Nicolas ROULET,SUI,103.47,15,36.38,16,67.09,2016-01-31,ec2016
