Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Albena DENKOVA / Maxim STAVISKI,BUL,201.61,2,37.42,1,62.1,1,102.09,2007-03-25,wc2007
2,Marie-France DUBREUIL / Patrice LAUZON,CAN,200.46,1,38.96,3,60.54,2,100.96,2007-03-25,wc2007
3,Tanith BELBIN / Benjamin AGOSTO,USA,195.43,5,37.17,2,61.85,4,96.41,2007-03-25,wc2007
4,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,195.19,4,37.2,5,58.82,3,99.17,2007-03-25,wc2007
5,Oksana DOMNINA / Maxim SHABALIN,RUS,193.44,3,37.29,4,60.34,5,95.81,2007-03-25,wc2007
6,Tessa VIRTUE / Scott MOIR,CAN,183.94,9,31.45,6,57.11,6,95.38,2007-03-25,wc2007
7,Meryl DAVIS / Charlie WHITE,USA,179.14,10,31.15,8,55.82,7,92.17,2007-03-25,wc2007
8,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,178.29,6,33.32,7,55.88,8,89.09,2007-03-25,wc2007
9,Federica FAIELLA / Massimo SCALI,ITA,170.75,7,33.29,9,53.32,11,84.14,2007-03-25,wc2007
10,Melissa GREGORY / Denis PETUKHOV,USA,170.08,11,30.83,10,53.15,9,86.1,2007-03-25,wc2007
11,Sinead KERR / John KERR,GBR,167.14,8,32.09,11,51.51,12,83.54,2007-03-25,wc2007
12,Nathalie PECHALAT / Fabian BOURZAT,FRA,162.05,14,28.59,13,49.1,10,84.36,2007-03-25,wc2007
13,Anna CAPPELLINI / Luca LANOTTE,ITA,158.83,12,28.91,16,47.6,13,82.32,2007-03-25,wc2007
14,Alexandra ZARETSKI / Roman ZARETSKI,ISR,156.52,13,28.85,12,49.11,14,78.56,2007-03-25,wc2007
15,Nozomi WATANABE / Akiyuki KIDO,JPN,152.21,15,28.46,17,47.27,15,76.48,2007-03-25,wc2007
16,Kristin FRASER / Igor LUKANIN,AZE,152.1,16,28.07,14,48.13,16,75.9,2007-03-25,wc2007
17,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,148.13,17,26.92,15,47.84,17,73.37,2007-03-25,wc2007
18,Nelli ZHIGANSHINA / Alexander GAZSI,GER,142.87,20,25.56,18,45.39,19,71.92,2007-03-25,wc2007
19,Grethe GRUENBERG / Kristian RAND,EST,141.55,23,23.72,19,45.13,18,72.7,2007-03-25,wc2007
20,Kaitlyn WEAVER / Andrew POJE,CAN,140.14,18,25.76,23,42.58,20,71.8,2007-03-25,wc2007
21,Xintong HUANG / Xun ZHENG,CHN,138.44,19,25.61,22,43.91,21,68.92,2007-03-25,wc2007
22,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,137.07,21,25.04,21,44.86,23,67.17,2007-03-25,wc2007
23,Katherine COPELY / Deividas STAGNIUNAS,LTU,136.63,24,23.46,20,44.87,22,68.3,2007-03-25,wc2007
24,Olga AKIMOVA / Alexander SHAKALOV,UZB,130.58,22,24.2,24,41.43,24,64.95,2007-03-25,wc2007
25,Barbora SILNA / Dmitri MATSJUK,AUT,64.35,25,23.12,25,41.23,DNQ,DNQ,2007-03-25,wc2007
26,Zsuzsanna NAGY / György ELEK,HUN,55.38,26,22.19,28,33.19,DNQ,DNQ,2007-03-25,wc2007
27,Nicolette Amie HOUSE / Aidas REKLYS,LTU,53.26,28,19.25,26,34.01,DNQ,DNQ,2007-03-25,wc2007
28,Christa-Elizabeth GOULAKOS / Eric NEUMANN-AUBICHON,GRE,53.13,29,19.18,27,33.95,DNQ,DNQ,2007-03-25,wc2007
29,Laura MUNANA / Luke MUNANA,MEX,52.35,27,20.3,29,32.05,DNQ,DNQ,2007-03-25,wc2007
