Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Maia SHIBUTANI / Alex SHIBUTANI,USA,185.13,2,73.23,1,111.9,2016-11-20,gpchn2016
2,Kaitlyn WEAVER / Andrew POJE,CAN,181.54,1,73.78,2,107.76,2016-11-20,gpchn2016
3,Alexandra STEPANOVA / Ivan BUKIN,RUS,177.41,3,72.09,3,105.32,2016-11-20,gpchn2016
4,Victoria SINITSINA / Nikita KATSALAPOV,RUS,171.94,4,70.24,4,101.7,2016-11-20,gpchn2016
5,Natalia KALISZEK / Maksym SPODYRIEV,POL,150.78,5,60.13,6,90.65,2016-11-20,gpchn2016
6,Shiyue WANG / Xinyu LIU,CHN,149.8,6,58.57,5,91.23,2016-11-20,gpchn2016
7,Anastasia CANNUSCIO / Colin MCMANUS,USA,141.17,7,53.43,7,87.74,2016-11-20,gpchn2016
8,Linshu SONG / Zhuoming SUN,CHN,130.9,8,53.2,8,77.7,2016-11-20,gpchn2016
9,Hong CHEN / Yan ZHAO,CHN,117.32,9,51.54,9,65.78,2016-11-20,gpchn2016
WD,Alexandra PAUL / Mitchell ISLAM,CAN,WD,WD,WD,WD,WD,2016-11-20,gpchn2016
