Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Elena RADIONOVA,RUS,205.9,2,70.75,1,135.15,2016-11-20,gpchn2016
2,Kaetlyn OSMOND,CAN,196.0,1,72.2,3,123.8,2016-11-20,gpchn2016
3,Elizaveta TUKTAMYSHEVA,RUS,192.57,4,64.88,2,127.69,2016-11-20,gpchn2016
4,Mai MIHARA,JPN,190.92,3,68.48,4,122.44,2016-11-20,gpchn2016
5,Rika HONGO,JPN,181.75,6,63.63,6,118.12,2016-11-20,gpchn2016
6,Ashley WAGNER,USA,181.38,5,64.36,7,117.02,2016-11-20,gpchn2016
7,Karen CHEN,USA,179.39,9,58.28,5,121.11,2016-11-20,gpchn2016
8,Zijun LI,CHN,172.4,7,61.32,8,111.08,2016-11-20,gpchn2016
9,Courtney HICKS,USA,163.64,8,59.86,9,103.78,2016-11-20,gpchn2016
10,Xiangning LI,CHN,157.27,11,54.55,10,102.72,2016-11-20,gpchn2016
11,Ziquan ZHAO,CHN,149.12,10,58.2,12,90.92,2016-11-20,gpchn2016
12,Joshi HELGESSON,SWE,144.64,12,49.25,11,95.39,2016-11-20,gpchn2016
