ISU GP Rostelecom Cup 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Javier FERNANDEZ ESP,6,163.13  81.77,,81.36,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30  1.86 1 3,1,2 2 2 2,,2 2,12.16,
2 4S  10.50  1.86 2 2,1,2 2 2 2,,2 1,12.36,
3 3A+3T  12.60  1.29 1 1,1,2 1 2 2,,1 1,13.89,
4 CiSt3  3.30  0.93 1 2,1,2 2 2 2,,2 2,4.23,
"",,Info,,,,Info
5 CSSp4  3.00  0.93 2 2,2,2 1 2 2,,2 1,3.93,
6 3A  9.35 x -0.86 -1 -1,-1,-1 0 -1 0,,-1 -1,8.49,
7 2Lz+2T  3.74 x -0.04 0 0,0,0 0 0 0,,-1 -2,3.70,
8 3S  4.62 x  0.50 0 1,0,0 1 1 1,,1 1,5.12,
9 1F+2T+1Lo  2.53 x -0.09 0 0,0,0 -1 -1 0,,-1 -1,2.44,
10 3Lo  5.61 x  0.10 0 1,0,0 0 1 0,,0 0,5.71,
11 CCoSp4  3.50  0.21 0 1,1,-1 0 1 1,,0 0,3.71,
12 ChSt1  2.00  0.60 0 2,1,0 1 1 1,,2 0,2.60,
13 FCSSp4  3.00  0.43 0 2,1,0 1 1 1,,1 1,3.43,
74.05,,,,,81.77,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 8.75,7.25,8.00 8.25 7.75 8.50,,8.25 8.00,8.07,
Transition / Linking Footwork  2.00 7.00 8.25,7.25,7.25 8.75 7.75 8.25,,8.00 7.75,7.79,
Performance / Execution  2.00 7.50 9.00,7.75,8.00 8.50 8.25 8.50,,8.50 8.25,8.25,
Choreography / Composition  2.00 7.25 8.75,7.75,8.25 8.75 8.00 8.75,,9.00 8.50,8.39,
Interpretation  2.00 7.50 9.00,7.75,8.00 8.50 7.75 8.75,,8.50 8.00,8.18,
Judges Total Program Component Score (factored),,,,,81.36,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Yuzuru HANYU JPN,8,158.88  82.50,,78.38,-2.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -2.57 -3 -2,-2,-2 -3 -2 -3,,-3 -3,7.73,
2 3A  8.50  2.00 2 2,2,2 2 3 2,,1 2,10.50,
3 3F  5.30  0.80 1 1,1,1 1 2 1,,1 2,6.10,
4 FCSSp4  3.00  0.86 2 2,2,1 2 2 1,,1 2,3.86,
5 3Lz+2T  7.30  0.00 0 1,0,0 0 0 0,,0 0,7.30,
6 CiSt1  1.80 -0.90 -3 -3,-3,-3 -3 -3 -2,,-3 -3,0.90,
7 3A+3T  13.86 x  1.43 1 2,2,1 1 2 1,,1 2,15.29,
8 3Lz  6.60 x  0.80 1 2,1,1 1 2 1,,1 1,7.40,
9 3Lo+2T  7.04 x  0.00 0 0,0,0 0 1 0,,0 0,7.04,
10 CCoSp4  3.50  0.50 1 1,1,1 1 1 1,,1 0,4.00,
11 ChSt1  2.00  1.30 2 2,2,2 1 2 1,,2 2,3.30,
12 3S  4.62 x  0.60 1 1,1,0 1 1 1,,0 1,5.22,
13 FCCoSp3  3.00  0.86 2 1,2,2 2 2 2,,1 1,3.86,
76.82,,,,,82.50,
Program Components Factor,,,,,,
