Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Alissa CZISNY,USA,172.37,4,55.95,1,116.42,2010-10-31,gpcan2010
2,Ksenia MAKAROVA,RUS,165,2,57.9,2,107.1,2010-10-31,gpcan2010
3,Amelie LACOSTE,CAN,157.26,5,55.3,4,101.96,2010-10-31,gpcan2010
4,Cynthia PHANEUF,CAN,156.24,1,58.24,7,98,2010-10-31,gpcan2010
5,Haruka IMAI,JPN,154.54,6,52.52,3,102.02,2010-10-31,gpcan2010
6,Agnes ZAWADZKI,USA,154.35,3,56.29,6,98.06,2010-10-31,gpcan2010
7,Myriane SAMSON,CAN,152.05,7,51.62,5,100.43,2010-10-31,gpcan2010
8,Valentina MARCHEI,ITA,137.78,9,45.57,8,92.21,2010-10-31,gpcan2010
9,Fumie SUGURI,JPN,132.84,8,48.17,10,84.67,2010-10-31,gpcan2010
10,Sonia LAFUENTE,ESP,131.2,10,42.76,9,88.44,2010-10-31,gpcan2010
11,Alexe GILLES,USA,125.64,11,41.02,11,84.62,2010-10-31,gpcan2010
WD,Sarah MEIER,SUI,WD,WD,WD,WD,WD,2010-10-31,gpcan2010
