7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Yiyi ZHANG / Nan WU,CHN,4,44.9,22.62,22.28,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,1PD1+kpNNN,,3.0,False,-0.1,0,0,-1,0,1,0,-1,,2.9
2,PSt2+kpNYN,,4.0,False,-0.1,0,0,-2,-1,0,0,0,,3.9
3,STw4,,6.6,False,0.6,1,1,1,1,1,0,1,,7.2
4,NtMiSt1,,4.1,False,0.02,1,0,-1,-1,0,0,1,,4.12
5,RoLi4,,4.5,False,0.0,0,0,-2,0,1,0,0,,4.5
,,,22.2,,,,,,,,,,,22.62
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,5.75,5.5,5.25,5.75,6.0,5.5,,5.7
,Linking Footwork / Movement  ,,,,0.8,5.75,5.5,4.5,5.0,5.25,5.5,5.25,,5.3
,Performance  ,,,,0.8,6.25,6.5,5.0,5.25,5.25,5.75,5.75,,5.65
,Choreography  ,,,,0.8,6.25,6.25,5.25,5.0,5.5,6.0,5.5,,5.7
,Interpretation / Timing  ,,,,0.8,6.25,6.5,5.0,4.5,5.75,5.25,5.25,,5.5
,,,,,,,,,,,,,,22.28
