7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Yue ZHAO / Xun ZHENG,CHN,1,41.88,20.84,21.04,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,STw4,,6.6,False,0.12,0,1,0,0,0,0,1,,6.72
2,1PD2+kpNYN,,4.0,False,-0.5,-1,-1,-1,-1,0,-1,-1,,3.5
3,PSt1+kpNNN,,3.0,False,-0.5,-1,-1,-1,-1,0,-1,-1,,2.5
4,CuLi4,,4.5,False,0.12,0,1,0,0,1,0,0,,4.62
5,NtMiSt1,,4.1,False,-0.6,-1,-1,-1,-2,-1,0,-2,,3.5
,,,22.2,,,,,,,,,,,20.84
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.5,5.75,4.5,4.5,6.0,5.25,,5.25
,Linking Footwork / Movement  ,,,,0.8,4.75,5.0,5.5,4.25,4.5,5.5,5.5,,5.05
,Performance  ,,,,0.8,6.0,6.0,5.5,4.5,4.75,5.75,5.25,,5.45
,Choreography  ,,,,0.8,5.25,5.75,5.25,4.75,4.75,6.25,5.5,,5.3
,Interpretation / Timing  ,,,,0.8,5.5,4.75,5.5,4.75,4.5,5.75,5.75,,5.25
,,,,,,,,,,,,,,21.04
