7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,2,60.48,30.2,30.28,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,NtMiSt3,,7.1,False,1.32,1,1,0,1,1,2,2,,8.42
2,STw4,,6.6,False,0.6,0,0,2,2,0,1,2,,7.2
3,1PD2+kpYNN,,4.0,False,0.36,0,0,2,1,-1,1,1,,4.36
4,PSt3+kpNYY,,5.0,False,0.36,0,1,0,1,-1,1,1,,5.36
5,SlLi4,,4.5,False,0.36,0,0,1,1,0,1,1,,4.86
,,,27.2,,,,,,,,,,,30.2
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.25,7.75,7.25,7.5,7.25,7.25,8.0,,7.4
,Linking Footwork / Movement  ,,,,0.8,7.0,7.5,7.0,7.75,7.0,6.75,8.0,,7.25
,Performance  ,,,,0.8,7.0,8.0,7.5,8.0,8.25,7.0,8.5,,7.75
,Choreography  ,,,,0.8,7.5,7.75,7.5,8.25,8.0,7.5,8.75,,7.8
,Interpretation / Timing  ,,,,0.8,7.25,7.5,7.5,8.25,7.5,7.5,8.5,,7.65
,,,,,,,,,,,,,,30.28
