Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,184.81,1,37.98,3,55.23,1,91.6,2008-11-16,gpfra08
2,Federica FAIELLA / Massimo SCALI,ITA,179.58,2,34.46,1,55.79,2,89.33,2008-11-16,gpfra08
3,Sinead KERR / John KERR,GBR,176.96,3,32.32,2,55.52,3,89.12,2008-11-16,gpfra08
4,Vanessa CRONE / Paul POIRIER,CAN,171.49,5,31.75,4,52.71,4,87.03,2008-11-16,gpfra08
5,Pernelle CARRON / Mathieu JOST,FRA,166.84,4,31.77,5,52.22,5,82.85,2008-11-16,gpfra08
6,Kristin FRASER / Igor LUKANIN,AZE,158.53,6,30.05,6,49.94,7,78.54,2008-11-16,gpfra08
7,Ekaterina RUBLEVA / Ivan SHEFER,RUS,156.84,7,28.44,7,48.4,6,80.0,2008-11-16,gpfra08
8,Jennifer WESTER / Daniil BARANTSEV,USA,142.95,8,28.02,8,45.78,8,69.15,2008-11-16,gpfra08
9,Zoe BLANC / Pierre-Lup BOUQUET,FRA,134.46,9,25.19,9,43.02,9,66.25,2008-11-16,gpfra08
10,Joanna BUDNER / Jan MOSCICKI,POL,124.8,10,24.73,10,37.09,10,62.98,2008-11-16,gpfra08
