Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,199.73,1,38.23,1,59.28,1,102.22,2006-01-28,fc2006
2,Morgan MATTHEWS / Maxim ZAVOZIN,USA,171.69,2,31.17,2,52.56,2,87.96,2006-01-28,fc2006
3,Tessa VIRTUE / Scott MOIR,CAN,168.66,3,30.79,3,52.5,3,85.37,2006-01-28,fc2006
4,Chantal LEFEBVRE / Arseni MARKOV,CAN,161.97,4,30.66,4,48.94,4,82.37,2006-01-28,fc2006
5,Mylene GIRARD / Bradley YAEGER,CAN,152.29,6,27.3,5,45.55,5,79.44,2006-01-28,fc2006
6,Jamie SILVERSTEIN / Ryan O'MEARA,USA,150.76,5,29.98,6,45.38,7,75.4,2006-01-28,fc2006
7,Xiaoyang YU / Chen WANG,CHN,144.12,9,25.51,7,43.16,6,75.45,2006-01-28,fc2006
8,Nakako TSUZUKI / Kenji MIYAMOTO,JPN,139.08,7,25.78,9,42.25,8,71.05,2006-01-28,fc2006
9,Laura MUNANA / Luke MUNANA,MEX,137.47,10,24.73,8,42.35,9,70.39,2006-01-28,fc2006
10,Xintong HUANG / Xun ZHENG,CHN,132.19,12,22.84,10,39.45,10,69.9,2006-01-28,fc2006
11,Olga AKIMOVA / Alexander SHAKALOV,UZB,125.13,8,25.72,12,35.82,11,63.59,2006-01-28,fc2006
12,Natalie BUCK / Trent NELSON-BOND,AUS,121.78,11,23.85,11,37.58,12,60.35,2006-01-28,fc2006
13,Alisa ALLAPACH / Peter KONGKASEM,THA,113.2,13,20.61,13,34.33,13,58.26,2006-01-28,fc2006
14,Maria BOROUNOV / Evgeni BOROUNOV,AUS,95.22,15,18.18,14,26.23,15,50.81,2006-01-28,fc2006
15,Hye Min KIM / Min Woo KIM,KOR,93.93,14,20.54,15,22.54,14,50.85,2006-01-28,fc2006
