Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,179.97,1,71.06,1,108.91,2015-02-01,ec2015
2,Anna CAPPELLINI / Luca LANOTTE,ITA,171.52,3,69.63,2,101.89,2015-02-01,ec2015
3,Alexandra STEPANOVA / Ivan BUKIN,RUS,160.95,4,64.95,3,96,2015-02-01,ec2015
4,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,159.83,2,69.94,8,89.89,2015-02-01,ec2015
5,Sara HURTADO / Adria DIAZ,ESP,155.81,6,62.59,4,93.22,2015-02-01,ec2015
6,Charlene GUIGNARD / Marco FABBRI,ITA,154.61,7,62.1,5,92.51,2015-02-01,ec2015
7,Nelli ZHIGANSHINA / Alexander GAZSI,GER,152.57,8,61.98,7,90.59,2015-02-01,ec2015
8,Federica TESTA / Lukas CSOLLEY,SVK,150.57,5,62.91,10,87.66,2015-02-01,ec2015
9,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,150.53,9,61.69,9,88.84,2015-02-01,ec2015
10,Ksenia MONKO / Kirill KHALIAVIN,RUS,149.29,11,58.34,6,90.95,2015-02-01,ec2015
11,Alexandra NAZAROVA / Maxim NIKITIN,UKR,139.02,12,54.66,11,84.36,2015-02-01,ec2015
12,Alisa AGAFONOVA / Alper UCAR,TUR,137.47,13,53.27,12,84.2,2015-02-01,ec2015
13,Irina SHTORK / Taavi RAND,EST,132.18,14,52.01,13,80.17,2015-02-01,ec2015
14,Natalia KALISZEK / Maksim SPODIREV,POL,131.13,15,51.69,14,79.44,2015-02-01,ec2015
15,Carolina MOSCHENI / Adam LUKACS,HUN,127.43,16,51.44,16,75.99,2015-02-01,ec2015
16,Allison REED / Vasili ROGOV,ISR,125.38,17,49.74,17,75.64,2015-02-01,ec2015
17,Cortney MANSOUR / Michal CESKA,CZE,124.51,19,47.33,15,77.18,2015-02-01,ec2015
18,Barbora SILNA / Juri KURAKIN,AUT,124.46,18,49.27,18,75.19,2015-02-01,ec2015
19,Olesia KARMI / Max LINDHOLM,FIN,121.29,20,46.98,19,74.31,2015-02-01,ec2015
WD,Penny COOMES / Nicholas BUCKLAND,GBR,60.16,10,60.16,WD,WD,2015-02-01,ec2015
21,Jennifer URBAN / Sevan LERCHE,GER,43.07,21,43.07,DNQ,DNQ,2015-02-01,ec2015
22,Celia ROBLEDO / Luis FENERO,ESP,42.89,22,42.89,DNQ,DNQ,2015-02-01,ec2015
23,Misato KOMATSUBARA / Andrea FABBRI,ITA,42.83,23,42.83,DNQ,DNQ,2015-02-01,ec2015
24,Taylor TRAN / Saulius AMBRULEVICIUS,LTU,42.72,24,42.72,DNQ,DNQ,2015-02-01,ec2015
25,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,42.4,25,42.4,DNQ,DNQ,2015-02-01,ec2015
26,Olga JAKUSHINA / Andrey NEVSKIY,LAT,40.4,26,40.4,DNQ,DNQ,2015-02-01,ec2015
27,Tatiana KOZMAVA / Aleksandr ZOLOTAREV,GEO,40.2,27,40.2,DNQ,DNQ,2015-02-01,ec2015
28,Cecile POSTIAUX / Richard POSTIAUX,BEL,37.37,28,37.37,DNQ,DNQ,2015-02-01,ec2015
29,Katarina PAICE / Yuri EREMENKO,SUI,30.32,29,30.32,DNQ,DNQ,2015-02-01,ec2015
WD,Olivia SMART / Joseph BUCKLAND,GBR,WD,WD,WD,WD,WD,2015-02-01,ec2015
