Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,207.67,2,69.86,1,137.81,2015-02-01,ec2015
2,Ksenia STOLBOVA / Fedor KLIMOV,RUS,201.11,1,71.38,2,129.73,2015-02-01,ec2015
3,Evgenia TARASOVA / Vladimir MOROZOV,RUS,183.02,5,57.13,3,125.89,2015-02-01,ec2015
4,Valentina MARCHEI / Ondrej HOTAREK,ITA,175.39,4,57.95,4,117.44,2015-02-01,ec2015
5,Vanessa JAMES / Morgan CIPRES,FRA,167.29,3,60.13,6,107.16,2015-02-01,ec2015
6,Nicole DELLA MONICA / Matteo GUARISE,ITA,155.77,8,48.43,5,107.34,2015-02-01,ec2015
7,Mari VARTMANN / Aaron VAN CLEAVE,GER,155.27,6,54.36,7,100.91,2015-02-01,ec2015
8,Miriam ZIEGLER / Severin KIEFER,AUT,136.8,9,43.79,8,93.01,2015-02-01,ec2015
9,Caitlin YANKOWSKAS / Hamish GAMAN,GBR,123.42,7,49.29,14,74.13,2015-02-01,ec2015
10,Alessandra CERNUSCHI / Filippo AMBROSINI,ITA,123.19,13,39.7,9,83.49,2015-02-01,ec2015
11,Minerva Fabienne HASE / Nolan SEEGERT,GER,121.29,11,42.13,10,79.16,2015-02-01,ec2015
12,Amani FANCY / Christopher BOYADJI,GBR,118.92,12,41.13,12,77.79,2015-02-01,ec2015
13,Elizaveta MAKAROVA / Leri KENCHADZE,BUL,117.65,14,39.0,11,78.65,2015-02-01,ec2015
14,Maria PALIAKOVA / Nikita BOCHKOV,BLR,117.52,10,42.58,13,74.94,2015-02-01,ec2015
