Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nathalie PECHALAT / Fabian BOURZAT,FRA,167.4,1,66.91,1,100.49,2011-01-30,ec2011
2,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,161.14,2,65.46,2,95.68,2011-01-30,ec2011
3,Sinead KERR / John KERR,GBR,157.49,3,62.87,3,94.62,2011-01-30,ec2011
4,Elena ILINYKH / Nikita KATSALAPOV,RUS,153.48,4,60.93,4,92.55,2011-01-30,ec2011
5,Federica FAIELLA / Massimo SCALI,ITA,145.92,9,57.18,5,88.74,2011-01-30,ec2011
6,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,145.05,5,60.91,6,84.14,2011-01-30,ec2011
7,Nelli ZHIGANSHINA / Alexander GAZSI,GER,140.69,7,57.82,7,82.87,2011-01-30,ec2011
8,Nora HOFFMANN / Maxim ZAVOZIN,HUN,140.3,6,58.0,8,82.3,2011-01-30,ec2011
9,Pernelle CARRON / Lloyd JONES,FRA,135.41,8,57.23,10,78.18,2011-01-30,ec2011
10,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,135.35,10,54.37,9,80.98,2011-01-30,ec2011
11,Siobhan HEEKIN-CANEDY / Alexander SHAKALOV,UKR,123.27,11,49.15,11,74.12,2011-01-30,ec2011
12,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,121.36,12,49.0,13,72.36,2011-01-30,ec2011
13,Nadezhda FROLENKOVA / Mikhail KASALO,UKR,120.86,13,47.73,12,73.13,2011-01-30,ec2011
14,Penny COOMES / Nicholas BUCKLAND,GBR,116.47,18,44.78,14,71.69,2011-01-30,ec2011
15,Sara HURTADO / Adria DIAZ,ESP,115.81,17,44.84,15,70.97,2011-01-30,ec2011
16,Lorenza ALESSANDRINI / Simone VATURI,ITA,115.35,14,47.69,18,67.66,2011-01-30,ec2011
17,Allison REED / Otar JAPARIDZE,GEO,114.73,16,46.86,17,67.87,2011-01-30,ec2011
18,Federica TESTA / Christopher MIOR,ITA,112.64,15,47.52,19,65.12,2011-01-30,ec2011
19,Ramona ELSENER / Florian ROOST,SUI,111.86,19,42.35,16,69.51,2011-01-30,ec2011
20,Brooke Elizabeth FRIELING / Lionel RUMI,ISR,99.63,20,41.69,20,57.94,2011-01-30,ec2011
21,Irina SHTORK / Taavi RAND,EST,38.76,21,38.76,DNQ,DNQ,2011-01-30,ec2011
