Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Sarah MEIER,SUI,159.17,3,50.92,1,108.25,2006-11-26,gprus06
2,Julia SEBESTYEN,HUN,146.75,1,54.36,5,92.39,2006-11-26,gprus06
3,Yoshie ONDA,JPN,143.6,6,45.56,2,98.04,2006-11-26,gprus06
4,Elena SOKOLOVA,RUS,143.11,2,52.08,6,91.03,2006-11-26,gprus06
5,Aki SAWADA,JPN,142.04,7,45.56,3,96.48,2006-11-26,gprus06
6,Kiira KORPI,FIN,137.41,9,43.14,4,94.27,2006-11-26,gprus06
7,Arina MARTINOVA,RUS,134.91,4,49.46,7,85.45,2006-11-26,gprus06
8,Viktoria VOLCHKOVA,RUS,130.83,5,47.5,8,83.33,2006-11-26,gprus06
9,Alissa CZISNY,USA,121.21,8,44.98,10,76.23,2006-11-26,gprus06
10,Yan LIU,CHN,114.65,11,40.72,11,73.93,2006-11-26,gprus06
11,Anastasia GIMAZETDINOVA,UZB,114.12,10,42.76,12,71.36,2006-11-26,gprus06
12,Viktoria PAVUK,HUN,111.74,12,34.88,9,76.86,2006-11-26,gprus06
