Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,186.33,2,36.56,1,58.02,2,91.75,2006-11-26,gprus06
2,Oksana DOMNINA / Maxim SHABALIN,RUS,185.34,1,37.99,3,52.36,1,94.99,2006-11-26,gprus06
3,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,183.53,3,36.5,2,57.83,3,89.2,2006-11-26,gprus06
4,Sinead KERR / John KERR,GBR,168.53,4,32.25,4,51.88,4,84.4,2006-11-26,gprus06
5,Nora HOFFMANN / Attila ELEK,HUN,161.57,6,30.25,6,48.89,5,82.43,2006-11-26,gprus06
6,Morgan MATTHEWS / Maxim ZAVOZIN,USA,159.07,8,27.84,5,50.46,6,80.77,2006-11-26,gprus06
7,Kristin FRASER / Igor LUKANIN,AZE,157.15,5,30.35,7,47.17,7,79.63,2006-11-26,gprus06
8,Anna CAPPELLINI / Luca LANOTTE,ITA,149.53,7,28.12,8,46.44,9,74.97,2006-11-26,gprus06
9,Anastasia PLATONOVA / Andrei MAXIMISHIN,RUS,148.72,9,27.64,9,45.65,8,75.43,2006-11-26,gprus06
10,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,134.05,10,25.14,10,40.19,10,68.72,2006-11-26,gprus06
WD,Ekaterina RUBLEVA / Ivan SHEFER,RUS,WD,WD,WD,WD,WD,WD,WD,2006-11-26,gprus06
