8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Meryl DAVIS / Charlie WHITE,USA,7,104.89,48.16,56.73,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,Sp4,,5.0,False,1.08,3,2,1,2,2,2,2,3,,6.08
2,RoLi4,,4.0,False,1.5,3,3,2,3,3,3,3,3,,5.5
3,DiSt3,,6.5,False,1.83,2,2,1,2,2,1,2,2,,8.33
4,STw3,,5.0,False,0.42,1,-1,1,0,1,1,1,1,,5.42
5,CuLi4,,4.0,False,0.83,2,2,0,1,2,1,2,2,,4.83
6,CiSt2,,5.0,False,2.0,3,2,1,2,2,2,2,2,,7.0
7,SlLi4,,4.0,False,0.92,3,2,1,2,1,1,2,3,,4.92
8,RoLi4,,4.0,False,1.33,3,3,2,3,2,2,3,3,,5.33
9,ChLi1,,0.2,False,0.55,2,1,1,2,1,1,2,2,,0.75
,,,37.7,,,,,,,,,,,,48.16
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,9.5,9.75,9.0,9.5,9.0,8.5,9.5,9.75,,9.38
,Linking Footwork / Movement  ,,,,1.75,9.5,9.5,8.75,9.5,9.0,9.0,9.5,10.0,,9.33
,Performance  ,,,,1.0,9.75,9.5,8.75,9.75,9.25,9.0,9.75,9.75,,9.5
,Choreography  ,,,,1.0,9.5,9.75,8.75,9.75,9.5,9.25,9.5,9.75,,9.54
,Interpretation / Timing  ,,,,1.0,9.75,9.75,8.75,9.75,9.25,9.5,9.75,10.0,,9.63
,,,,,,,,,,,,,,,56.73
