8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Anastasia CANNUSCIO / Colin MCMANUS,USA,1,74.39,38.93,36.46,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,DiSt2,,5.0,False,0.83,0,1,1,1,1,1,0,1,,5.83
2,SlLi4+RoLi4,,8.0,False,0.67,1,1,1,0,1,1,0,0,,8.67
3,CuLi4,,4.0,False,-0.42,0,0,-1,-1,-1,-1,-1,-1,,3.58
4,RoLi4,,4.0,False,0.42,1,1,1,0,1,1,1,0,,4.42
5,CiSt2,,5.0,False,0.0,0,1,0,0,0,0,0,0,,5.0
6,CoSp4,,5.0,False,0.0,0,0,0,1,0,0,-1,0,,5.0
7,STw4,,6.0,False,0.08,0,0,0,0,1,-1,0,1,,6.08
8,ChLi1,,0.2,False,0.15,0,0,1,1,1,1,0,0,,0.35
,,,37.2,,,,,,,,,,,,38.93
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,6.0,6.5,5.5,6.0,6.5,6.25,5.75,6.25,,6.13
,Linking Footwork / Movement  ,,,,1.75,5.75,6.25,5.25,5.75,6.25,6.0,5.5,6.0,,5.88
,Performance  ,,,,1.0,6.25,6.5,5.5,6.25,6.75,6.25,6.0,5.75,,6.17
,Choreography  ,,,,1.0,6.0,6.5,5.75,6.0,6.75,6.5,6.0,6.0,,6.17
,Interpretation / Timing  ,,,,1.0,5.75,6.25,5.5,6.25,6.5,6.5,6.0,6.25,,6.17
,,,,,,,,,,,,,,,36.46
Deduction,Extended lifts,-1.0
