Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,197.71,1,38.41,1,61.91,1,97.39,2009-10-18,gpfra09
2,Nathalie PECHALAT / Fabian BOURZAT,FRA,181.64,3,35.53,2,56.34,2,89.77,2009-10-18,gpfra09
3,Sinead KERR / John KERR,GBR,177.11,2,36.13,3,54.73,3,86.25,2009-10-18,gpfra09
4,Emily SAMUELSON / Evan BATES,USA,158.07,4,31.11,6,46.55,5,80.41,2009-10-18,gpfra09
5,Ekaterina RUBLEVA / Ivan SHEFER,RUS,155.54,8,27.12,5,47.12,4,81.3,2009-10-18,gpfra09
6,Kimberly NAVARRO / Brent BOMMENTRE,USA,150.29,6,29.19,4,48.17,7,72.93,2009-10-18,gpfra09
7,Kristina GORSHKOVA / Vitali BUTIKOV,RUS,145.96,5,29.56,7,45.58,8,70.82,2009-10-18,gpfra09
8,Madison HUBBELL / Keiffer HUBBELL,USA,143.28,7,27.17,10,43.07,6,73.04,2009-10-18,gpfra09
9,Pernelle CARRON / Lloyd JONES,FRA,140.27,9,26.28,8,45.18,10,68.81,2009-10-18,gpfra09
10,Zoe BLANC / Pierre-Lup BOUQUET,FRA,138.12,10,24.08,9,44.24,9,69.8,2009-10-18,gpfra09
