Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nobunari ODA,JPN,242.53,2,79.2,1,163.33,2009-10-18,gpfra09
2,Tomas VERNER,CZE,229.96,1,81.0,2,148.96,2009-10-18,gpfra09
3,Adam RIPPON,USA,219.96,3,75.82,3,144.14,2009-10-18,gpfra09
4,Brian JOUBERT,FRA,207.39,6,72.15,4,135.24,2009-10-18,gpfra09
5,Yannick PONSERO,FRA,205.74,5,72.5,5,133.24,2009-10-18,gpfra09
6,Sergei VORONOV,RUS,204.45,4,72.8,6,131.65,2009-10-18,gpfra09
7,Alban PREAUBERT,FRA,189.63,7,66.49,7,123.14,2009-10-18,gpfra09
8,Chao YANG,CHN,178.63,9,60.72,8,117.91,2009-10-18,gpfra09
9,Ryan BRADLEY,USA,177.65,8,65.21,10,112.44,2009-10-18,gpfra09
10,Peter LIEBERS,GER,176.52,11,60.31,9,116.21,2009-10-18,gpfra09
11,Javier FERNANDEZ,ESP,170.16,10,60.56,11,109.6,2009-10-18,gpfra09
12,Vaughn CHIPEUR,CAN,155.43,12,51.45,12,103.98,2009-10-18,gpfra09
