Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Meryl DAVIS / Charlie WHITE,USA,185.27,2,73.76,1,111.51,2011-01-05,wc2011
2,Tessa VIRTUE / Scott MOIR,CAN,181.79,1,74.29,2,107.5,2011-01-05,wc2011
3,Maia SHIBUTANI / Alex SHIBUTANI,USA,163.79,4,66.88,3,96.91,2011-01-05,wc2011
4,Nathalie PECHALAT / Fabian BOURZAT,FRA,163.54,3,70.97,6,92.57,2011-01-05,wc2011
5,Kaitlyn WEAVER / Andrew POJE,CAN,160.32,7,65.07,4,95.25,2011-01-05,wc2011
6,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,160.23,5,65.88,5,94.35,2011-01-05,wc2011
7,Elena ILINYKH / Nikita KATSALAPOV,RUS,154.5,6,65.51,10,88.99,2011-01-05,wc2011
8,Anna CAPPELLINI / Luca LANOTTE,ITA,153.77,8,64.12,9,89.65,2011-01-05,wc2011
9,Madison CHOCK / Greg ZUERLEIN,USA,151.86,9,61.47,7,90.39,2011-01-05,wc2011
10,Vanessa CRONE / Paul POIRIER,CAN,151.13,10,61.01,8,90.12,2011-01-05,wc2011
11,Nelli ZHIGANSHINA / Alexander GAZSI,GER,140.95,12,55.53,11,85.42,2011-01-05,wc2011
12,Pernelle CARRON / Lloyd JONES,FRA,140.86,11,57.68,12,83.18,2011-01-05,wc2011
13,Cathy REED / Chris REED,JPN,133.33,13,54.86,13,78.47,2011-01-05,wc2011
14,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,131.01,14,53.16,14,77.85,2011-01-05,wc2011
15,Siobhan HEEKIN-CANEDY / Alexander SHAKALOV,UKR,128.7,15,52.31,15,76.39,2011-01-05,wc2011
16,Penny COOMES / Nicholas BUCKLAND,GBR,126.29,17,51.75,16,74.54,2011-01-05,wc2011
17,Xintong HUANG / Xun ZHENG,CHN,123.01,16,52.17,17,70.84,2011-01-05,wc2011
18,Allison REED / Otar JAPARIDZE,GEO,120.11,19,49.44,18,70.67,2011-01-05,wc2011
19,Charlene GUIGNARD / Marco FABBRI,ITA,120.02,18,49.8,19,70.22,2011-01-05,wc2011
20,Louise WALDEN / Owen EDWARDS,GBR,116.52,20,46.73,20,69.79,2011-01-05,wc2011
21,Dora TUROCZI / Balazs MAJOR,HUN,45.41,21,45.41,DNQ,DNQ,2011-01-05,wc2011
22,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,45.02,22,45.02,DNQ,DNQ,2011-01-05,wc2011
23,Sara HURTADO / Adria DIAZ,ESP,44.98,23,44.98,DNQ,DNQ,2011-01-05,wc2011
24,Brooke Elizabeth FRIELING / Lionel RUMI,ISR,44.43,24,44.43,DNQ,DNQ,2011-01-05,wc2011
25,Ramona ELSENER / Florian ROOST,SUI,41.58,25,41.58,DNQ,DNQ,2011-01-05,wc2011
