Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Miki ANDO,JPN,195.79,2,65.58,1,130.21,2011-01-05,wc2011
2,Yuna KIM,KOR,194.5,1,65.91,2,128.59,2011-01-05,wc2011
3,Carolina KOSTNER,ITA,184.68,6,59.75,3,124.93,2011-01-05,wc2011
4,Alena LEONOVA,RUS,183.92,5,59.75,4,124.17,2011-01-05,wc2011
5,Alissa CZISNY,USA,182.25,4,61.47,5,120.78,2011-01-05,wc2011
6,Mao ASADA,JPN,172.79,7,58.66,6,114.13,2011-01-05,wc2011
7,Ksenia MAKAROVA,RUS,167.22,3,61.62,9,105.6,2011-01-05,wc2011
8,Kanako MURAKAMI,JPN,167.1,10,54.86,7,112.24,2011-01-05,wc2011
9,Kiira KORPI,FIN,164.8,9,55.09,8,109.71,2011-01-05,wc2011
10,Elene GEDEVANISHVILI,GEO,156.24,15,51.61,10,104.63,2011-01-05,wc2011
11,Sarah HECKEN,GER,155.83,12,52.73,11,103.1,2011-01-05,wc2011
12,Rachael FLATT,USA,154.61,8,57.22,14,97.39,2011-01-05,wc2011
13,Cynthia PHANEUF,CAN,152.78,13,52.62,12,100.16,2011-01-05,wc2011
14,Mae Berenice MEITE,FRA,150.44,11,53.26,15,97.18,2011-01-05,wc2011
15,Joshi HELGESSON,SWE,149.08,16,50.25,13,98.83,2011-01-05,wc2011
16,Amelie LACOSTE,CAN,144.76,14,51.98,18,92.78,2011-01-05,wc2011
17,Viktoria HELGESSON,SWE,142.52,24,45.4,16,97.12,2011-01-05,wc2011
18,Bingwa GENG,CHN,140.78,19,47.89,17,92.89,2011-01-05,wc2011
19,Ira VANNUT,BEL,138.28,17,49.23,20,89.05,2011-01-05,wc2011
20,Juulia TURKKILA,FIN,136.68,22,45.7,19,90.98,2011-01-05,wc2011
21,Cheltzie LEE,AUS,133.65,18,48.2,21,85.45,2011-01-05,wc2011
22,Elena GLEBOVA,EST,124.78,20,46.28,22,78.5,2011-01-05,wc2011
23,Irina MOVCHAN,UKR,123.15,23,45.68,23,77.47,2011-01-05,wc2011
24,Jenna MCCORKELL,GBR,121.76,21,45.99,24,75.77,2011-01-05,wc2011
25,Sonia LAFUENTE,ESP,44.59,25,44.59,DNQ,DNQ,2011-01-05,wc2011
26,Karina JOHNSON,DEN,42.19,26,42.19,DNQ,DNQ,2011-01-05,wc2011
27,Bettina HEIM,SUI,37.23,27,37.23,DNQ,DNQ,2011-01-05,wc2011
28,Dasa GRM,SLO,36.63,28,36.63,DNQ,DNQ,2011-01-05,wc2011
29,Belinda SCHÖNBERGER,AUT,35.73,29,35.73,DNQ,DNQ,2011-01-05,wc2011
30,Viktoria PAVUK,HUN,33.7,30,33.7,DNQ,DNQ,2011-01-05,wc2011
