Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Aliona SAVCHENKO / Robin SZOLKOWY,GER,217.85,2,72.98,1,144.87,2011-01-05,wc2011
2,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,210.73,3,70.35,2,140.38,2011-01-05,wc2011
3,Qing PANG / Jian TONG,CHN,204.12,1,74.0,3,130.12,2011-01-05,wc2011
4,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,187.36,5,62.54,4,124.82,2011-01-05,wc2011
5,Vera BAZAROVA / Yuri LARIONOV,RUS,187.13,4,64.64,5,122.49,2011-01-05,wc2011
6,Caitlin YANKOWSKAS / John COUGHLIN,USA,175.94,8,58.76,6,117.18,2011-01-05,wc2011
7,Meagan DUHAMEL / Eric RADFORD,CAN,173.03,7,58.83,7,114.2,2011-01-05,wc2011
8,Kirsten MOORE-TOWERS / Dylan MOSCOVITCH,CAN,163.17,10,56.86,8,106.31,2011-01-05,wc2011
9,Narumi TAKAHASHI / Mervin TRAN,JPN,160.1,6,59.16,10,100.94,2011-01-05,wc2011
10,Stefania BERTON / Ondrej HOTAREK,ITA,157.15,9,57.63,11,99.52,2011-01-05,wc2011
11,Amanda EVORA / Mark LADWIG,USA,155.91,11,54.64,9,101.27,2011-01-05,wc2011
12,Maylin HAUSCH / Daniel WENDE,GER,149.65,12,53.9,12,95.75,2011-01-05,wc2011
13,Yue ZHANG / Lei WANG,CHN,147.38,13,52.25,13,95.13,2011-01-05,wc2011
14,Huibo DONG / Yiming WU,CHN,137.75,14,49.29,14,88.46,2011-01-05,wc2011
15,Klara KADLECOVA / Petr BIDAR,CZE,132.51,15,45.2,15,87.31,2011-01-05,wc2011
16,Natalja ZABIJAKO / Sergei KULBACH,EST,126.56,16,44.35,16,82.21,2011-01-05,wc2011
17,Stacey KEMP / David KING,GBR,44.14,17,44.14,DNQ,DNQ,2011-01-05,wc2011
18,Adeline CANAC / Yannick BONHEUR,FRA,43.92,18,43.92,DNQ,DNQ,2011-01-05,wc2011
19,Lubov BAKIROVA / Mikalai KAMIANCHUK,BLR,38.2,19,38.2,DNQ,DNQ,2011-01-05,wc2011
20,Danielle MONTALBANO / Evgeni KRASNOPOLSKI,ISR,37.43,20,37.43,DNQ,DNQ,2011-01-05,wc2011
21,Stina MARTINI / Severin KIEFER,AUT,35.34,21,35.34,DNQ,DNQ,2011-01-05,wc2011
22,Alexandra MALAKHOVA / Leri KENCHADZE,BUL,30.1,22,30.1,DNQ,DNQ,2011-01-05,wc2011
