Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,280.98,1,93.02,1,187.96,2011-01-05,wc2011
2,Takahiko KOZUKA,JPN,258.41,6,77.62,2,180.79,2011-01-05,wc2011
3,Artur GACHINSKI,RUS,241.86,4,78.34,3,163.52,2011-01-05,wc2011
4,Michal BREZINA,CZE,233.61,7,77.5,5,156.11,2011-01-05,wc2011
5,Daisuke TAKAHASHI,JPN,232.97,3,80.25,6,152.72,2011-01-05,wc2011
6,Nobunari ODA,JPN,232.5,2,81.81,9,150.69,2011-01-05,wc2011
7,Florent AMODIO,FRA,229.68,5,77.64,7,152.04,2011-01-05,wc2011
8,Brian JOUBERT,FRA,227.67,9,71.29,4,156.38,2011-01-05,wc2011
9,Richard DORNBUSH,USA,222.42,11,70.54,8,151.88,2011-01-05,wc2011
10,Javier FERNANDEZ,ESP,218.26,14,69.16,10,149.1,2011-01-05,wc2011
11,Ross MINER,USA,217.93,13,70.4,11,147.53,2011-01-05,wc2011
12,Tomas VERNER,CZE,216.87,8,75.94,13,140.93,2011-01-05,wc2011
13,Ryan BRADLEY,USA,212.71,12,70.45,12,142.26,2011-01-05,wc2011
14,Denis TEN,KAZ,209.99,10,71.0,14,138.99,2011-01-05,wc2011
15,Peter LIEBERS,GER,205.59,16,67.73,15,137.86,2011-01-05,wc2011
16,Anton KOVALEVSKI,UKR,201.64,17,65.16,16,136.48,2011-01-05,wc2011
17,Kevin VAN DER PERREN,BEL,197.1,15,68.34,18,128.76,2011-01-05,wc2011
18,Samuel CONTESTI,ITA,196.4,18,64.59,17,131.81,2011-01-05,wc2011
19,Jorik HENDRICKX,BEL,188.24,22,60.74,19,127.5,2011-01-05,wc2011
20,Kevin REYNOLDS,CAN,187.23,19,64.36,21,122.87,2011-01-05,wc2011
21,Paolo BACCHINI,ITA,183.13,23,58.96,20,124.17,2011-01-05,wc2011
22,Nan SONG,CHN,176.09,20,63.78,23,112.31,2011-01-05,wc2011
23,Kim LUCINE,MON,171.93,24,58.81,22,113.12,2011-01-05,wc2011
24,Joey RUSSELL,CAN,168.73,21,61.69,24,107.04,2011-01-05,wc2011
25,Adrian SCHULTHEISS,SWE,58.41,25,58.41,DNQ,DNQ,2011-01-05,wc2011
26,Viktor PFEIFER,AUT,56.68,26,56.68,DNQ,DNQ,2011-01-05,wc2011
27,Min-Seok KIM,KOR,56.19,27,56.19,DNQ,DNQ,2011-01-05,wc2011
28,Alexander MAJOROV,SWE,54.24,28,54.24,DNQ,DNQ,2011-01-05,wc2011
29,Maxim SHIPOV,ISR,50.1,29,50.1,DNQ,DNQ,2011-01-05,wc2011
30,Misha GE,UZB,49.61,30,49.61,DNQ,DNQ,2011-01-05,wc2011
