NHK Trophy 2007,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
Elements Value,,(in random order),,,,of Panel,
1 3S  4.50 -3.00,-3 -3 -3 -3,-3 -3 -2 -3,,-3,-3 - -,1.50,
2 2FTw2  3.50  0.00,0 0 0 0,0 0 0 0,,0,1 - -,3.50,
3 5ALi4  6.50  1.00,1 1 1 1,1 1 1 1,,0,1 - -,7.50,
4 3LoTh  5.00  0.70,1 1 1 1,1 1 1 1,,1,1 - -,5.70,
5 FCCoSp4  3.50  0.04,0 0 1 -1,0 0 0 1,,-1,0 - -,3.54,
6 SlSt3  3.10  0.00,1 1 0 0,0 1 0 0,,0,0 - -,3.10,
7 BiDs3  3.20  0.28,1 1 0 1,1 1 0 0,,0,1 - -,3.48,
8 PCoSp4  4.50  0.10,1 1 0 0,0 0 0 1,,0,0 - -,4.60,
33.80,,,,,,32.92,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.25 6.75 6.50 7.25,6.25 6.75 6.75 6.75,,6.75,6.50 - -,6.65,
Transition / Linking Footwork  0.80,6.00 6.75 6.25 6.75,6.00 6.50 6.50 6.50,,6.50,6.25 - -,6.40,
Performance / Execution  0.80,6.50 6.25 6.50 7.00,6.25 6.25 6.50 7.00,,6.50,6.50 - -,6.60,
Choreography / Composition  0.80,6.25 7.00 6.50 7.25,6.25 6.50 6.75 6.75,,6.75,6.25 - -,6.60,
Interpretation  0.80,6.50 7.00 6.25 7.25,6.50 6.75 6.75 6.50,,6.50,6.50 - -,6.55,
Judges Total Program Component Score (factored),,,,,,26.24,
Deductions: Falls:,-1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
NHK Trophy 2007,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
4 Keauna McLAUGHLIN / Rockne BRUBAKER,USA,55.66  31.98,,,24.68,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 BiDs3  3.20  0.70,1 1 1 1,1 0 1 1,,1,1 - -,3.90,
2 3LzTw1  5.00 Info-0.28,-1 -2 0 0,-1 0 1 -1,,0,I-n1fo - -,4.72,Info
3 3S  4.50 -2.00,-2 -2 -2 -2,-2 -2 -2 -2,,-2,-2 - -,2.50,
4 5ALi4  6.50  0.40,0 1 0 0,1 2 1 1,,0,1 - -,6.90,
5 3LoTh  5.00 -2.00,-3 -3 -3 -3,-3 -2 -3 -3,,-3,-3 - -,3.00,
6 CCoSp4  3.50 -0.24,-1 -1 0 -1,0 -1 -1 0,,-1,-1 - -,3.26,
7 SlSt3  3.10  0.00,0 0 1 0,0 0 0 0,,0,0 - -,3.10,
8 PCoSp4  4.50  0.10,0 1 0 0,0 0 1 1,,0,0 - -,4.60,
35.30,,,,,,31.98,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.25 6.25 6.50 6.50,6.50 6.50 6.50 6.50,,6.00,6.00 - -,6.35,
Transition / Linking Footwork  0.80,5.50 5.75 6.25 6.25,6.25 6.00 5.50 6.00,,5.75,5.50 - -,5.80,
Performance / Execution  0.80,6.00 5.50 6.25 6.00,6.00 6.75 6.25 6.25,,6.25,6.00 - -,6.15,
Choreography / Composition  0.80,6.25 6.00 6.50 6.25,6.25 6.50 6.25 6.50,,6.00,6.00 - -,6.25,
Interpretation  0.80,6.25 6.00 6.25 6.50,6.00 6.75 6.25 6.50,,6.25,5.75 - -,6.30,
Judges Total Program Component Score (factored),,,,,,24.68,
Deductions: Falls:,-1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
5 Anabelle LANGLOIS / Cody HAY,CAN,54.24  30.80,,,23.44,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T  4.00  0.00,1 1 0 0,0 0 0 0,,0,0 - -,4.00,
2 2LzTw1  3.00  0.00,0 1 0 1,-1 0 0 0,,0,0 - -,3.00,
3 3LzTh  5.50 -1.40,-2 -2 -2 -2,-1 -2 -1 -2,,-3,-2 - -,4.10,
4 5ALi3  6.00  0.60,1 1 1 0,0 0 1 1,,0,0 - -,6.60,
5 FCCoSp2  2.50 -0.02,0 -1 -1 1,0 -1 -1 -1,,1,0 - -,2.48,
