NHK Trophy 2007,,,,,,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,,,,,,
"# Executed",Base GOE,,,The Judges Panel,,,Scores,
Elements,Value,,,(in random order),,,of Panel,
1 CiSt3,3.10  0.40,0 0 1 1,,1 1 0 1,,1 1 - -,3.50,
2 3A,7.50  0.00,0 0 0 0,,0 0 0 1,,0 0 - -,7.50,
3 3F+2T,6.80  0.00,0 0 0 0,,0 1 0 0,,0 0 - -,6.80,
4 CSSp4,3.00  0.40,0 0 1 2,,0 1 1 1,,1 0 - -,3.40,
5 3Lz,6.00 -2.00,-2 -2 -2 -2,,-2 -2 -1 -2,,-2 -2 - -,4.00,
6 FSSp4,3.00  0.30,1 0 0 1,,1 1 0 1,,1 0 - -,3.30,
7 SlSt3,3.10  0.30,0 1 1 1,,0 1 0 1,,0 0 - -,3.40,
8 CCoSp4,3.50  0.00,1 0 0 0,,1 1 0 0,,-1 0 - -,3.50,
"",36.00,,,,,,35.40,
Program Components,Factor,,,,,,,
Skating Skills,1.00,7.00 6.25 6.50 6.25,,7.00 7.00 7.00 6.00,,5.75 6.25 - -,6.40,
Transition / Linking Footwork,1.00,6.50 6.25 6.50 6.00,,6.75 6.50 6.75 6.25,,6.25 6.00 - -,6.40,
Performance / Execution,1.00,6.75 6.25 6.75 6.25,,6.75 7.25 6.50 6.50,,6.25 6.25 - -,6.45,
Choreography / Composition,1.00,7.00 6.25 6.50 6.00,,7.00 7.00 7.00 6.50,,7.25 6.50 - -,6.65,
Interpretation,1.00,6.75 6.25 6.75 6.25,,7.00 7.00 6.75 6.25,,6.75 6.25 - -,6.55,
Judges Total Program Component Score (factored),,,,,,,32.45,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",,<  Downgraded jump,,,,,,
NHK Trophy 2007,,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,,Total,Total,
"",NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,,Score (factored),,
"",,,= +,,,+,-,
4 Yasuharu NANRI,JPN,,67.55  38.70,,,28.85,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 3A  7.50  0.00,1 0 1 0,,0 1 0 0,,0,1 - -,7.50,
2 3F+3T  9.50 Info 0.40,1 1 0 1,,1 0 0 0,,0,In0fo - -,9.90,Info
3 3Lz  6.00  0.00,0 -1 0 0,,0 1 0 0,,0,1 - -,6.00,
4 CSSp4  3.00  0.20,0 0 1 1,,0 0 0 1,,0,0 - -,3.20,
5 FSSp4  3.00 -0.24,0 -1 0 -1,,-1 -1 0 -1,,-1,-1 - -,2.76,
6 CiSt3  3.10  0.00,0 0 1 0,,0 1 0 0,,0,0 - -,3.10,
7 CCoSp4  3.50 -0.36,0 -3 -2 -2,,0 0 0 1,,-2,0 - -,3.14,
8 SlSt3  3.10  0.00,0 0 0 0,,0 1 0 0,,0,0 - -,3.10,
38.70,,,,,,,38.70,
Program Components Factor,,,,,,,,
Skating Skills  1.00,6.50 5.25 6.00 6.00,,6.50 6.25 6.25 5.25,,5.50,6.25 - -,5.80,
Transition / Linking Footwork  1.00,6.00 5.00 5.50 5.75,,6.00 5.75 5.75 5.25,,5.25,5.25 - -,5.50,
Performance / Execution  1.00,6.25 5.50 6.00 5.75,,6.25 6.00 6.00 5.50,,6.00,5.75 - -,5.85,
Choreography / Composition  1.00,6.25 5.25 6.00 6.25,,6.25 6.25 5.75 5.25,,5.75,6.00 - -,5.80,
Interpretation  1.00,6.00 5.25 6.00 6.25,,6.25 6.25 5.75 5.75,,5.75,5.50 - -,5.90,
Judges Total Program Component Score (factored),,,,,,,28.85,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,,
"",,,Total Total,,,Total,Total,
"",NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,,Score (factored),,
"",,,= +,,,+,-,
5 Sergei DAVYDOV,BLR,,66.25  34.80,,,31.45,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 3A  7.50  1.00,1 1 2 0,,1 1 1 1,,1,2 - -,8.50,
2 3Lz+3T  10.00 -0.80,-1 -1 -2 0,,-1 -2 0 -1,,-1,-1 - -,9.20,
3 3F e  5.50 -1.20,-1 -2 -1 -1,,-1 -2 -1 -2,,-1,-3 - -,4.30,
4 FSSp3  2.30  0.10,0 0 1 1,,0 1 0 0,,0,0 - -,2.40,
5 CiSt1  1.80  0.30,0 0 1 1,,0 0 0 1,,1,0 - -,2.10,
6 CCoSp4  3.50  0.10,0 0 1 1,,0 1 0 0,,0,0 - -,3.60,
7 SlSt2  2.30  0.10,0 0 1 0,,1 0 0 0,,0,0 - -,2.40,
8 CSSp3  2.30  0.00,-1 0 0 0,,0 -1 0 0,,-1,0 - -,2.30,
35.20,,,,,,,34.80,
Program Components Factor,,,,,,,,
Skating Skills  1.00,6.75 6.50 6.75 6.50,,7.00 6.75 7.00 5.25,,6.00,6.50 - -,6.55,
Transition / Linking Footwork  1.00,6.25 5.75 6.50 6.25,,6.25 5.75 6.75 5.50,,5.75,6.00 - -,6.10,
Performance / Execution  1.00,6.50 5.75 6.75 6.25,,6.75 6.25 7.00 5.25,,6.25,6.00 - -,6.35,
Choreography / Composition  1.00,6.75 5.75 7.00 6.00,,6.50 6.50 6.75 5.75,,5.75,6.25 - -,6.15,
Interpretation  1.00,6.50 5.75 6.75 6.50,,6.75 6.25 6.75 5.25,,5.75,6.50 - -,6.30,
Judges Total Program Component Score (factored),,,,,,,31.45,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,,
"",,,Total Total,,,Total,Total,
"",NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,,Score (factored),,
"",,,= +,,,+,-,
6 Sergei DOBRIN,RUS,,66.14  35.44,,,30.70,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 4T+3T  13.00  0.00,2 0 1 0,,-1 -1 0 0,,0,0 - -,13.00,
2 3A  7.50 -2.00,-2 -2 -2 -2,,-2 -2 -2 -2,,-2,-2 - -,5.50,
3 3F  5.50  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,5.50,
4 FCSp2  2.00  0.30,1 0 1 1,,1 -1 0 1,,0,1 - -,2.30,
5 CiSt2  2.30  0.10,0 0 1 0,,1 0 0 0,,-1,0 - -,2.40,
6 CSSp3  2.30  0.10,0 0 1 -1,,0 0 0 1,,0,0 - -,2.40,
7 SlSt2  2.30  0.10,0 0 1 0,,0 1 1 0,,-1,0 - -,2.40,
8 CCoSp1  2.00 -0.06,-1 -1 0 -1,,0 -2 0 0,,0,0 - -,1.94,
36.90,,,,,,,35.44,
Program Components Factor,,,,,,,,
Skating Skills  1.00,6.75 6.00 6.75 5.75,,6.75 6.50 6.75 5.00,,6.00,6.00 - -,6.25,
Transition / Linking Footwork  1.00,6.25 5.75 6.75 5.75,,6.50 5.00 6.50 5.00,,4.75,6.25 - -,5.90,
Performance / Execution  1.00,6.50 6.25 7.00 5.75,,6.50 6.00 6.25 5.25,,6.00,6.25 - -,6.15,
Choreography / Composition  1.00,6.50 6.25 7.00 6.00,,6.50 5.50 6.50 5.75,,5.75,6.75 - -,6.20,
Interpretation  1.00,6.25 6.75 7.00 5.50,,6.75 5.25 6.50 5.50,,5.50,6.50 - -,6.20,
Judges Total Program Component Score (factored),,,,,,,30.70,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,,
NHK Trophy 2007,,,,,,,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,,,,,,,
"",,,,Total Total,,,Total,Total,
"",,NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,,
"",,Code,,Score Score,,,Score (factored),,
"",,,,= +,,,+,-,
7 Kensuke NAKANIWA,,JPN,,63.70  33.40,,,30.30,0.00,
"# Executed",Base GOE,,,The Judges Panel,,,,Scores,
Elements,Value,,,(in random order),,,,of Panel,
1 3Lz+2T,7.30  0.00,0 0 0 0,,0 0 0 1,,0,0 - -,7.30,
2 3A,7.50 Info-1.00,-1 -1 -1 -1,,-1 -2 -1 -1,,-2,I-n1fo - -,6.50,Info
3 CSSp4,3.00  0.00,-1 0 0 0,,0 0 0 0,,0,0 - -,3.00,
4 3F e,5.50 -1.00,-1 -2 -1 -1,,-1 -2 -1 -1,,-1,-2 - -,4.50,
5 CiSt3,3.10  0.20,0 0 1 1,,1 0 0 0,,0,0 - -,3.30,
6 FSSp4,3.00  0.00,0 0 0 0,,1 0 0 0,,0,0 - -,3.00,
7 SlSt2,2.30  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.30,
8 CCoSp4,3.50  0.00,0 0 0 0,,0 0 0 1,,0,-1 - -,3.50,
