Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,197.54,1,38.96,2,61.67,2,96.91,2007-12-02,gpjpn07
2,Tessa VIRTUE / Scott MOIR,CAN,196.89,2,34.67,1,62.04,1,100.18,2007-12-02,gpjpn07
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,186.96,3,34.23,3,57.84,3,94.89,2007-12-02,gpjpn07
4,Sinead KERR / John KERR,GBR,172.37,4,31.79,4,54.47,4,86.11,2007-12-02,gpjpn07
5,Kristin FRASER / Igor LUKANIN,AZE,162.15,5,29.85,5,51.26,5,81.04,2007-12-02,gpjpn07
6,Kimberly NAVARRO / Brent BOMMENTRE,USA,156.08,6,28.25,6,49.03,6,78.8,2007-12-02,gpjpn07
7,Julia ZLOBINA / Alexei SITNIKOV,RUS,144.33,7,27.13,10,44.16,8,73.04,2007-12-02,gpjpn07
8,Cathy REED / Chris REED,JPN,143.85,10,25.45,8,44.28,7,74.12,2007-12-02,gpjpn07
9,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,141.28,8,26.58,7,46.09,10,68.61,2007-12-02,gpjpn07
10,Xintong HUANG / Xun ZHENG,CHN,138.84,9,25.54,9,44.28,9,69.02,2007-12-02,gpjpn07
