NHK Trophy 2007,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY,GER,,120.32  58.64,,61.68,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
Skating Skills  1.60,6.50 6.75 6.00,6.75,6.75 6.50 6.50 7.00,6.50,6.50 - -,,6.55,
Transition / Linking Footwork  1.60,6.00 6.00 5.75,6.25,6.50 6.25 6.25 6.50,5.75,4.75 - -,,6.05,
Performance / Execution  1.60,6.25 6.50 6.00,7.00,6.50 6.25 6.50 7.00,6.00,6.25 - -,,6.35,
Choreography / Composition  1.60,6.25 6.50 5.75,7.00,6.25 6.75 6.25 6.50,6.50,5.75 - -,,6.25,
Interpretation  1.60,6.75 6.50 5.75,6.75,6.50 6.50 6.50 6.75,6.25,6.00 - -,,6.45,
Judges Total Program Component Score (factored),,,,,,,50.64,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
NHK Trophy 2007,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
3 Jessica DUBE / Bryce DAVISON,CAN,,102.05  53.17,,50.88,,2.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.10,0 0 0,0,0 0 0 1,1,1 - -,,3.60,
2 2A+1A+SEQ  3.44 -1.28,0 -2 -2,0,-1 -1 -1 -I2nfo,-2,-2 - -,,2.16,Info
3 5ALi4  6.50  1.00,1 1 1,1,1 1 1 1,1,2 - -,,7.50,
4 3LoTh  5.00  0.42,0 1 1,1,1 0 0 1,0,1 - -,,5.42,
5 BiDs3  3.20  0.14,0 1 0,0,1 0 0 1,1,0 - -,,3.34,
6 3S  4.50 -3.00,-3 -3 -3,-3,-3 -3 -3 -3,-3,-3 - -,,1.50,
7 5SLi4  6.00  0.30,1 0 0,1,0 0 1 1,0,1 - -,,6.30,
8 FCCoSp4  3.50  0.30,1 0 1,0,2 0 1 1,1,0 - -,,3.80,
9 3LzTh  6.05 x -2.00,-3 -3 -3,-3,-3 -3 -3 -3,-3,-3 - -,,4.05,
10 SpSq4  3.40  0.20,0 1 0,0,1 0 0 1,1,0 - -,,3.60,
11 SlSt3  3.10  0.10,0 0 1,0,0 0 0 1,1,0 - -,,3.20,
12 3Li4  4.00  0.20,1 -1 1,0,1 0 0 1,1,0 - -,,4.20,
13 PCoSp4  4.50  0.00,0 0 0,0,1 0 0 0,0,1 - -,,4.50,
56.69,,,,,,,53.17,
Program Components Factor,,,,,,,,
Skating Skills  1.60,6.50 6.50 6.25,6.50,6.50 6.75 6.75 6.25,6.50,6.75 - -,,6.55,
Transition / Linking Footwork  1.60,5.75 6.25 6.00,6.25,6.00 6.25 6.25 6.25,6.25,6.25 - -,,6.20,
Performance / Execution  1.60,6.25 6.50 5.50,6.75,6.50 6.25 6.25 5.75,6.50,6.50 - -,,6.20,
Choreography / Composition  1.60,6.25 6.50 5.50,6.50,6.50 6.75 6.50 6.50,6.25,6.75 - -,,6.50,
Interpretation  1.60,6.25 6.50 5.25,6.50,6.25 6.50 6.50 6.00,6.50,6.50 - -,,6.35,
Judges Total Program Component Score (factored),,,,,,,50.88,
Deductions: Falls:,-2.00,,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
4 Anabelle LANGLOIS / Cody HAY,CAN,,91.09  48.61,,44.48,,2.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 3STh  4.50 -1.26,-2 -2 -1,-2,-2 -2 -1 -2,-2,-2 - -,,3.24,
2 3T+COMBO  4.00 -3.00,-3 -3 -3,-3,-2 -3 -3 -3,-3,-3 - -,,1.00,
3 2LzTw1  3.00  0.30,1 0 1,1,1 0 1 0,1,1 - -,,3.30,
4 1S  0.40 -0.30,-3 -3 -3,-3,-3 -3 -3 -3,-3,-3 - -,,0.10,
5 5RLi4  6.50 -0.06,0 -1 0,0,0 0 0 -1,0,0 - -,,6.44,
