Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,206.3,1,40.77,2,64.68,1,100.85,2009-03-29,wc2009
2,Tanith BELBIN / Benjamin AGOSTO,USA,205.08,2,39.65,1,65.16,2,100.27,2009-03-29,wc2009
3,Tessa VIRTUE / Scott MOIR,CAN,200.4,3,39.37,6,61.05,4,99.98,2009-03-29,wc2009
4,Meryl DAVIS / Charlie WHITE,USA,200.36,4,37.73,3,62.6,3,100.03,2009-03-29,wc2009
5,Nathalie PECHALAT / Fabian BOURZAT,FRA,194.36,6,36.54,4,61.83,5,95.99,2009-03-29,wc2009
6,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,193.41,5,37.34,5,61.68,6,94.39,2009-03-29,wc2009
7,Sinead KERR / John KERR,GBR,186.07,8,35.3,7,60.13,7,90.64,2009-03-29,wc2009
8,Federica FAIELLA / Massimo SCALI,ITA,182.76,7,36.3,10,55.92,8,90.54,2009-03-29,wc2009
9,Pernelle CARRON / Matthieu JOST,FRA,178.72,9,34.39,8,57.68,10,86.65,2009-03-29,wc2009
10,Anna CAPPELLINI / Luca LANOTTE,ITA,175.7,11,33.3,9,56.33,11,86.07,2009-03-29,wc2009
11,Emily SAMUELSON / Evan BATES,USA,174.76,13,32.51,11,54.97,9,87.28,2009-03-29,wc2009
12,Vanessa CRONE / Paul POIRIER,CAN,173.16,10,33.33,12,54.75,12,85.08,2009-03-29,wc2009
13,Alexandra ZARETSKI / Roman ZARETSKI,ISR,167.53,12,32.85,13,54.19,14,80.49,2009-03-29,wc2009
14,Katherine COPELY / Deividas STAGNIUNAS,LTU,160.0,16,28.46,14,49.79,13,81.75,2009-03-29,wc2009
15,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,154.49,15,30.34,19,46.94,15,77.21,2009-03-29,wc2009
16,Cathy REED / Chris REED,JPN,151.04,18,27.24,15,49.58,16,74.22,2009-03-29,wc2009
17,Carolina HERMANN / Daniel HERMANN,GER,147.77,20,26.65,16,48.89,18,72.23,2009-03-29,wc2009
18,Kristin FRASER / Igor LUKANIN,AZE,147.45,14,30.35,18,48.06,20,69.04,2009-03-29,wc2009
19,Zoe BLANC / Pierre-Lup BOUQUET,FRA,146.08,19,27.16,17,48.24,19,70.68,2009-03-29,wc2009
20,Caitlin MALLORY / Kristian RAND,EST,143.69,23,25.11,21,45.69,17,72.89,2009-03-29,wc2009
21,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,142.99,17,28.29,20,46.35,21,68.35,2009-03-29,wc2009
22,Xintong HUANG / Xun ZHENG,CHN,135.85,22,26.11,23,43.48,22,66.26,2009-03-29,wc2009
23,Phillipa TOWLER-GREEN / Phillip POOLE,GBR,135.56,21,26.38,22,43.7,23,65.48,2009-03-29,wc2009
24,Joanna BUDNER / Jan MOSCICKI,POL,124.58,24,23.43,25,39.25,24,61.9,2009-03-29,wc2009
25,Danielle OBRIEN / Gregory MERRIMAN,AUS,59.51,27,19.81,24,39.7,DNQ,DNQ,2009-03-29,wc2009
26,Nikki GEORGIADIS / Graham HOCKLEY,GRE,58.61,26,21.51,26,37.1,DNQ,DNQ,2009-03-29,wc2009
27,Leonie KRAIL / Oscar PETER,SUI,56.78,25,22.32,27,34.46,DNQ,DNQ,2009-03-29,wc2009
28,Emese LASZLO / Mate FEJES,HUN,53.39,29,18.95,28,34.44,DNQ,DNQ,2009-03-29,wc2009
29,Ina DEMIREVA / Juri KURAKIN,BUL,52.89,28,19.75,30,33.14,DNQ,DNQ,2009-03-29,wc2009
30,Ksenia SHMIRINA / Yahor MAISTROV,BLR,51.89,30,17.96,29,33.93,DNQ,DNQ,2009-03-29,wc2009
