7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Yiyi ZHANG / Nan WU,CHN,2,63.76,32.9,31.86,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,CuLi4,,4.5,False,0.6,1,1,1,1,1,1,1,,5.1
2,DiSt2,,5.6,False,-0.6,-1,-1,0,-1,0,0,-1,,5.0
3,STw4,,6.6,False,0.02,0,-1,0,1,1,0,-1,,6.62
4,CoSp3,,4.6,False,0.0,0,0,0,1,0,0,0,,4.6
5,CiSt1,,4.1,False,-0.2,-1,0,-1,0,0,-1,0,,3.9
6,SlLi2,,3.0,False,0.24,0,0,1,1,0,1,-1,,3.24
7,RoLi3,,4.0,False,-0.1,0,-1,0,0,-1,0,0,,3.9
8,ChSp1,,0.6,False,-0.06,-1,-1,0,-1,1,-1,0,,0.54
,,,33.0,,,,,,,,,,,32.9
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,5.75,5.75,5.0,4.75,6.0,5.25,5.75,,5.5
,Linking Footwork / Movement  ,,,,1.2,4.5,5.5,5.0,4.5,5.25,5.0,5.25,,5.0
,Performance  ,,,,1.2,5.5,5.75,5.0,4.75,5.75,5.0,5.5,,5.35
,Choreography  ,,,,1.2,5.0,6.0,5.25,5.0,5.75,5.25,6.0,,5.45
,Interpretation / Timing  ,,,,1.2,5.25,5.5,5.25,5.0,5.5,5.0,5.25,,5.25
,,,,,,,,,,,,,,31.86
Deduction,Extended lifts,-1.0
