7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,5,84.22,40.56,45.66,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,RoLi4,,4.5,False,0.6,2,1,1,1,1,1,1,,5.1
2,CiSt3,,7.1,False,0.88,1,1,0,1,0,1,1,,7.98
3,STw4,,6.6,False,0.6,1,1,-1,0,1,3,2,,7.2
4,SlLi4,,4.5,False,0.36,0,1,-1,0,1,1,1,,4.86
5,DiSt3,,7.1,False,1.1,1,1,1,1,1,1,1,,8.2
6,CoSp1,,2.6,False,0.6,1,1,0,1,1,1,1,,3.2
7,CuLi2,,3.0,False,0.12,0,0,-1,0,0,1,1,,3.12
8,ChLi1,,0.3,False,0.6,1,1,1,1,1,2,1,,0.9
,,,35.7,,,,,,,,,,,40.56
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,7.5,7.0,7.5,7.0,7.75,7.75,8.0,,7.5
,Linking Footwork / Movement  ,,,,1.2,7.5,6.75,7.0,6.5,7.75,7.5,7.5,,7.25
,Performance  ,,,,1.2,8.25,7.25,7.25,7.0,8.0,8.0,8.25,,7.75
,Choreography  ,,,,1.2,8.0,7.0,7.5,7.25,8.25,7.75,8.0,,7.7
,Interpretation / Timing  ,,,,1.2,8.25,7.25,7.5,7.5,8.0,8.0,8.5,,7.85
,,,,,,,,,,,,,,45.66
Deduction,Extended lifts,-2.0
