7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Yue ZHAO / Xun ZHENG,CHN,1,61.56,29.88,31.68,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,STw2,,4.6,False,0.0,0,0,0,0,0,0,0,,4.6
2,CiSt1,,4.1,False,-0.3,-1,0,0,-1,-1,-1,0,,3.8
3,CoSp2,,3.6,False,0.0,0,0,0,0,0,0,1,,3.6
4,SlLi4,,4.5,False,0.24,2,1,0,0,0,0,1,,4.74
5,RoLi3,,4.0,False,0.36,1,0,1,0,1,0,2,,4.36
6,CuLi3,,4.0,False,0.12,0,1,0,0,0,-1,1,,4.12
7,DiSt1,,4.1,False,-0.1,0,0,0,0,-1,-1,0,,4.0
8,ChLi1,,0.3,False,0.36,0,1,0,1,0,1,1,,0.66
,,,29.2,,,,,,,,,,,29.88
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,4.75,5.25,5.25,5.5,5.5,5.5,5.5,,5.4
,Linking Footwork / Movement  ,,,,1.2,4.5,5.0,4.75,4.75,5.0,5.0,5.0,,4.9
,Performance  ,,,,1.2,5.0,5.5,5.5,5.5,5.75,5.75,5.5,,5.55
,Choreography  ,,,,1.2,4.75,5.25,5.25,5.25,5.5,5.0,5.25,,5.2
,Interpretation / Timing  ,,,,1.2,5.0,5.0,5.75,5.75,5.25,5.75,5.0,,5.35
,,,,,,,,,,,,,,31.68
