10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Yannick PONSERO,FRA,0,114.19,50.89,63.3,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3A<,,3.3,False,-1.96,-3,-2,-3,-3,-3,-2,-,-3,-3,-3,,1.34
2,3T,,4.0,False,0.2,2,0,0,0,0,0,-,0,0,1,,4.2
3,2A,,3.3,False,0.2,0,0,1,0,0,0,-,0,0,1,,3.5
4,CCSp4,,3.0,False,0.5,1,1,1,0,1,1,-,1,1,0,,3.5
5,2A,,3.3,False,0.0,1,0,0,0,0,0,-,0,0,0,,3.3
6,CiSt3,,3.1,False,0.5,1,1,0,0,1,1,-,1,1,1,,3.6
7,2F+3S+SEQ,,5.46,True,-0.2,-1,0,-1,0,0,0,-,0,0,0,,5.26
8,CCoSp4,,3.5,False,0.3,1,1,-1,0,0,1,-,0,0,1,,3.8
9,3S+2T,,6.38,True,0.0,1,0,0,0,0,0,-,0,0,0,,6.38
10,FSSp3,,2.3,False,0.3,1,1,1,0,1,0,-,0,1,0,,2.6
11,3Lz,,6.6,True,-1.2,-1,-1,-2,-1,-1,-1,-,-1,-1,-2,,5.4
12,SlSt3,,3.1,False,0.5,1,1,1,1,1,1,-,1,1,0,,3.6
13,2A,,3.63,True,-1.12,-2,-1,-2,-1,-1,-1,-,-2,-1,-2,,2.51
14,SSp3,,1.8,False,0.1,1,0,0,0,0,0,-,0,0,1,,1.9
,,,52.77,,,,,,,,,,,,,,50.89
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.0,6.5,6.75,6.25,6.25,6.5,-,6.75,6.5,6.5,,6.6
,Transition / Linking Footwork  ,,,,2.0,5.75,5.75,5.25,6.25,6.25,6.25,-,6.25,6.25,6.0,,6.0
,Performance / Execution  ,,,,2.0,7.0,6.0,5.5,6.25,6.25,6.25,-,6.5,6.25,5.75,,6.15
,Choreography / Composition  ,,,,2.0,7.0,6.25,6.5,6.5,6.0,6.75,-,6.5,6.5,6.25,,6.5
,Interpretation  ,,,,2.0,7.25,6.25,6.0,6.25,6.5,6.5,-,6.25,6.5,6.5,,6.4
,,,,,,,,,,,,,,,,,63.3
