Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nobunari ODA,JPN,231.39,1,81.8,2,149.59,2006-10-29,gpusa06
2,Evan LYSACEK,USA,221.09,3,70.35,1,150.74,2006-10-29,gpusa06
3,Alban PREAUBERT,FRA,212.67,2,73.8,3,138.87,2006-10-29,gpusa06
4,Kevin VAN DER PERREN,BEL,178.52,5,63.43,5,115.09,2006-10-29,gpusa06
5,Sergei DAVYDOV,BLR,175.72,6,60.91,7,114.81,2006-10-29,gpusa06
6,Scott SMITH,USA,173.08,8,58.25,6,114.83,2006-10-29,gpusa06
7,Sergei VORONOV,RUS,173.03,9,56.4,4,116.63,2006-10-29,gpusa06
8,Ryan BRADLEY,USA,172.29,4,64.44,9,107.85,2006-10-29,gpusa06
9,Christopher MABEE,CAN,163.16,7,58.35,10,104.81,2006-10-29,gpusa06
10,Karel ZELENKA,ITA,161.95,10,53.31,8,108.64,2006-10-29,gpusa06
11,Yasuharu NANRI,JPN,150.36,12,49.2,11,101.16,2006-10-29,gpusa06
WD,Nicholas YOUNG,CAN,49.72,11,49.72,WD,WD,2006-10-29,gpusa06
