Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Albena DENKOVA / Maxim STAVISKI,BUL,201.58,1,39.19,1,62.27,1,100.12,2006-10-29,gpusa06
2,Melissa GREGORY / Denis PETUKHOV,USA,180.98,2,35.02,2,55.61,2,90.35,2006-10-29,gpusa06
3,Nathalie PECHALAT / Fabian BOURZAT,FRA,167.28,3,32.38,3,52.88,4,82.02,2006-10-29,gpusa06
4,Morgan MATTHEWS / Maxim ZAVOZIN,USA,164.94,5,29.95,4,51.05,3,83.94,2006-10-29,gpusa06
5,Sinead KERR / John KERR,GBR,160.09,4,30.98,5,50.06,5,79.05,2006-10-29,gpusa06
6,Kimberley NAVARRO / Brent BOMMENTRE,USA,152.78,8,27.56,6,47.63,6,77.59,2006-10-29,gpusa06
7,Nozomi WATANABE / Akiyuki KIDO,JPN,149.27,6,29.79,8,44.37,7,75.11,2006-10-29,gpusa06
8,Alexandra ZARETSKI / Roman ZARETSKI,ISR,143.95,7,27.62,7,46.02,9,70.31,2006-10-29,gpusa06
9,Chantal LEFEBVRE / Arseni MARKOV,CAN,142.87,10,25.15,9,43.34,8,74.38,2006-10-29,gpusa06
10,Natalia MIKHAILOVA / Arkadi SERGEEV,RUS,135.99,9,25.8,10,41.9,10,68.29,2006-10-29,gpusa06
11,Allie HANN-McCURDY / Michael CORENO,CAN,131.07,11,23.58,11,39.57,11,67.92,2006-10-29,gpusa06
