ISU World Figure Skating Championships 2018,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Aljona SAVCHENKO / Bruno MASSOT GER  26  82.98  44.14,,38.84,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,IJn8f o J9 Ref,,Info
Elements Value,,,Panel,
1 3Tw4  6.60  2.10 3 3 3 3 3 3 3,,3 3,8.70,
2 3S  4.40  1.50 2 2 3 2 3 1 1,,3 2,5.90,
3 3FTh  5.50  0.90 2 0 1 2 3 1 0,,2 1,6.40,
4 3Li4  4.50  1.50 3 3 3 3 3 3 2,,3 3,6.00,
5 StSq4  3.90  2.10 3 3 3 3 3 3 3,,3 3,6.00,
6 FiDs4  3.50  2.00 3 3 3 3 3 3 2,,3 2,5.50,
7 PCoSp4  4.50  1.14 3 2 2 2 3 2 3,,2 2,5.64,
32.90,,,44.14,
Program Components Factor,,,,
Skating Skills  0.80 9.50 9.75 9.50 9.50 9.75 9.50 9.75,,9.75 9.50,9.61,
Transitions  0.80 9.50 9.75 9.25 9.50 9.75 9.75 9.50,,9.75 9.50,9.61,
Performance  0.80 9.75 9.75 9.50 9.75 10.00 10.00 9.25,,9.75 9.75,9.75,
Composition  0.80 9.75 9.75 9.75 9.75 10.00 10.00 9.25,,9.75 9.75,9.79,
Interpretation of the Music  0.80 10.00 10.00 9.50 9.75 10.00 9.75 9.50,,9.75 9.75,9.79,
Judges Total Program Component Score (factored),,,38.84,
Deductions,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Evgenia TARASOVA / Vladimir MOROZOV RUS  25  81.29  43.66,,37.63,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3Tw4  6.60  2.10 3 3 3 3 3 3 3,,3 3,8.70,
2 3T  4.30  1.60 2 2 3 3 3 2 1,,2 2,5.90,
3 3LoTh  5.00  2.10 3 3 3 3 3 3 2,,3 3,7.10,
4 FiDs4  3.50  1.50 2 2 2 2 2 3 2,,3 2,5.00,
5 PCoSp4  4.50  1.07 3 2 2 2 2 2 3,,2 2,5.57,
6 3Li4  4.50  1.29 3 2 2 2 3 2 3,,3 3,5.79,
7 StSq4  3.90  1.70 3 2 3 2 3 3 2,,2 2,5.60,
32.30,,,43.66,
Program Components Factor,,,,
Skating Skills  0.80 9.75 9.50 9.25 9.25 9.50 9.50 9.50,,9.50 9.50,9.46,
Transitions  0.80 9.50 9.00 9.00 9.00 9.50 9.25 9.25,,9.50 9.25,9.25,
Performance  0.80 10.00 9.50 9.50 9.50 9.50 9.50 9.75,,9.50 9.25,9.54,
Composition  0.80 9.75 9.25 9.50 9.25 9.75 9.25 9.50,,9.50 9.50,9.46,
Interpretation of the Music  0.80 10.00 9.25 9.25 9.00 9.50 9.50 9.25,,9.25 9.25,9.32,
Judges Total Program Component Score (factored),,,37.63,
Deductions,,,0.00,
ISU World Figure Skating Championships 2018,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
3 Vanessa JAMES / Morgan CIPRES FRA  28  75.32,39.23,36.09,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,IJn8f o J9 Ref,,Info
Elements Value,,,Panel,
1 3Tw4  6.60  1.80 3 3 3 3 3,2 1,2 2,8.40,
