Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,PLUSHENKO Evgeni,RUS,258.33,1,90.66,1,167.67,2006-02-26,owg2006
2,LAMBIEL Stephane,SUI,231.21,3,79.04,4,152.17,2006-02-26,owg2006
3,BUTTLE Jeffrey,CAN,227.59,6,73.29,2,154.3,2006-02-26,owg2006
4,LYSACEK Evan,USA,220.13,10,67.55,3,152.58,2006-02-26,owg2006
5,WEIR Johnny,USA,216.63,2,80.0,6,136.63,2006-02-26,owg2006
6,JOUBERT Brian,FRA,212.89,4,77.77,7,135.12,2006-02-26,owg2006
7,SAVOIE Matthew,USA,206.67,8,69.15,5,137.52,2006-02-26,owg2006
8,TAKAHASHI Daisuke,JPN,204.89,5,73.77,9,131.12,2006-02-26,owg2006
9,VAN DER PERREN Kevin,BEL,197.39,13,65.36,8,132.03,2006-02-26,owg2006
10,ZHANG Min,CHN,196.27,11,67.39,11,128.88,2006-02-26,owg2006
11,KLIMKIN Ilia,RUS,191.8,18,61.61,10,130.19,2006-02-26,owg2006
12,SAWYER Shawn,CAN,190.83,12,67.2,12,123.63,2006-02-26,owg2006
13,SANDHU Emanuel,CAN,190.24,7,69.75,14,120.49,2006-02-26,owg2006
14,CHIPER Gheorghe,ROM,186.19,9,67.66,17,118.53,2006-02-26,owg2006
15,DAVYDOV Sergei,BLR,184.59,14,64.65,16,119.94,2006-02-26,owg2006
16,LI Chengjiang,CHN,182.21,21,60.23,13,121.98,2006-02-26,owg2006
17,DINEV Ivan,BUL,180.11,15,63.64,18,116.47,2006-02-26,owg2006
18,VERNER Tomas,CZE,180.07,22,59.71,15,120.36,2006-02-26,owg2006
19,DAMBIER Frederic,FRA,177.59,19,61.17,19,116.42,2006-02-26,owg2006
20,KOVALEVSKI Anton,UKR,172.84,16,63.41,21,109.43,2006-02-26,owg2006
21,LINDEMANN Stefan,GER,172.57,20,60.52,20,112.05,2006-02-26,owg2006
22,PFEIFER Viktor,AUT,163.87,17,62.17,23,101.7,2006-02-26,owg2006
23,BERNTSSON Kristoffer,SWE,161.95,23,59.55,22,102.4,2006-02-26,owg2006
24,TOTH Zoltan,HUN,145.47,24,55.07,24,90.4,2006-02-26,owg2006
25,ZELENKA Karel,ITA,53.46,25,53.46,DNQ,DNQ,2006-02-26,owg2006
26,ZIVANOVIC Trifun,SCG,53.4,26,53.4,DNQ,DNQ,2006-02-26,owg2006
27,OTHMAN Jamal,SUI,52.18,27,52.18,DNQ,DNQ,2006-02-26,owg2006
28,MURVANIDZE Vakhtang,GEO,49.68,28,49.68,DNQ,DNQ,2006-02-26,owg2006
29,URBAS Gregor,SLO,46.48,29,46.48,DNQ,DNQ,2006-02-26,owg2006
30,HAN Jong In,PRK,42.11,30,42.11,DNQ,DNQ,2006-02-26,owg2006
