Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,TOTMIANINA Tatiana / MARININ Maxim,RUS,204.48,1,68.64,1,135.84,2006-02-26,owg2006
2,ZHANG Dan / ZHANG Hao,CHN,189.73,2,64.72,2,125.01,2006-02-26,owg2006
3,SHEN Xue / ZHAO Hongbo,CHN,186.91,5,62.32,3,124.59,2006-02-26,owg2006
4,PANG Qing / TONG Jian,CHN,186.67,4,63.19,4,123.48,2006-02-26,owg2006
5,PETROVA Maria / TIKHONOV Alexei,RUS,181.69,3,64.27,6,117.42,2006-02-26,owg2006
6,SAVCHENKO Aliona / SZOLKOWY Robin,GER,180.15,7,60.96,5,119.19,2006-02-26,owg2006
7,INOUE Rena / BALDWIN John,USA,175.01,6,61.27,7,113.74,2006-02-26,owg2006
8,OBERTAS Julia / SLAVNOV Sergei,RUS,166.54,8,60.25,9,106.29,2006-02-26,owg2006
9,ZAGORSKA Dorota / SIUDEK Mariusz,POL,165.95,9,56.1,8,109.85,2006-02-26,owg2006
10,DUBE Jessica / DAVISON Bryce,CAN,159.71,11,55.48,10,104.23,2006-02-26,owg2006
11,MARCOUX Valerie / BUNTIN Craig,CAN,158.21,10,55.62,11,102.59,2006-02-26,owg2006
12,VOLOSOZHAR Tatiana / MOROZOV Stanislav,UKR,148.38,12,50.14,12,98.24,2006-02-26,owg2006
13,HINZMANN Marcy / PARCHEM Aaron,USA,147.05,13,49.58,13,97.47,2006-02-26,owg2006
14,PLA Marylin / BONHEUR Yannick,FRA,132.84,14,44.24,14,88.6,2006-02-26,owg2006
15,FITZE Eva-Maria / REX Rico,GER,120.23,16,43.86,16,76.37,2006-02-26,owg2006
16,AGANINA Marina / KNYAZEV Artem,UZB,119.55,15,44.02,17,75.53,2006-02-26,owg2006
17,RENNIK Diana / SAKS Aleksei,EST,118.13,18,39.72,15,78.41,2006-02-26,owg2006
18,BELOGLAZOVA Julia / BEKH Andrei,UKR,115.62,17,43.85,19,71.77,2006-02-26,owg2006
19,SPASSOVA Rumiana / TODOROV Stanimir,BUL,111.25,19,37.27,18,73.98,2006-02-26,owg2006
WD,PHYO Yong Myong / JONG Yong Hyok,PRK,33.63,20,33.63,WD,WD,2006-02-26,owg2006
