Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,NAVKA Tatiana / KOSTOMAROV Roman,RUS,200.64,2,38.2,1,61.07,1,101.37,2006-02-26,owg2006
2,BELBIN Tanith / AGOSTO Benjamin,USA,196.06,6,37.36,2,60.53,4,98.17,2006-02-26,owg2006
3,GRUSHINA Elena / GONCHAROV Ruslan,UKR,195.85,5,37.39,3,59.29,3,99.17,2006-02-26,owg2006
4,DELOBEL Isabelle / SCHOENFELDER Olivier,FRA,194.28,7,36.44,4,58.34,2,99.5,2006-02-26,owg2006
5,DENKOVA Albena / STAVISKI Maxim,BUL,189.53,3,37.65,5,55.85,5,96.03,2006-02-26,owg2006
6,FUSAR POLI Barbara / MARGAGLIO Maurizio,ITA,183.46,1,38.78,10,51.73,8,92.95,2006-02-26,owg2006
7,DROBIAZKO Margarita / VANAGAS Povilas,LTU,183.21,8,35.23,8,52.79,6,95.19,2006-02-26,owg2006
8,CHAIT Galit / SAKHNOVSKI Sergei,ISR,181.16,13,31.07,6,55.65,7,94.44,2006-02-26,owg2006
9,DOMNINA Oksana / SHABALIN Maxim,RUS,173.76,9,33.37,9,52.36,9,88.03,2006-02-26,owg2006
10,KERR Sinead / KERR John,GBR,167.43,11,31.58,11,50.28,13,85.57,2006-02-26,owg2006
11,WING Megan / LOWE Aaron,CAN,166.4,12,31.42,12,49.17,12,85.81,2006-02-26,owg2006
12,KHOKHLOVA Jana / NOVITSKI Sergei,RUS,164.48,14,30.9,13,47.15,11,86.43,2006-02-26,owg2006
13,FAIELLA Federica / SCALI Massimo,ITA,164.37,10,33.2,21,43.25,10,87.92,2006-02-26,owg2006
14,GREGORY Melissa / PETUKHOV Denis,USA,159.15,15,30.51,14,47.0,14,81.64,2006-02-26,owg2006
15,WATANABE Nozomi / KIDO Akiyuki,JPN,153.41,17,27.95,15,46.59,15,78.87,2006-02-26,owg2006
16,SILVERSTEIN Jamie / O'MEARA Ryan,USA,150.4,18,27.53,16,46.0,18,76.87,2006-02-26,owg2006
17,HOFFMANN Nora / ELEK Attila,HUN,149.47,19,27.53,18,44.04,16,77.9,2006-02-26,owg2006
18,PECHALAT Nathalie / BOURZAT Fabian,FRA,149.31,16,28.59,17,44.07,19,76.65,2006-02-26,owg2006
19,FRASER Kristin / LUKANIN Igor,AZE,148.24,20,27.27,19,43.83,17,77.14,2006-02-26,owg2006
20,GREBENKINA Anastasia / AZROJAN Vazgen,ARM,137.99,22,24.28,20,43.83,21,69.88,2006-02-26,owg2006
21,KAUC Alexandra / ZYCH Michal,POL,136.6,21,24.93,22,42.06,22,69.61,2006-02-26,owg2006
22,ZARETSKI Alexandra / ZARETSKI Roman,ISR,135.8,24,23.51,23,41.21,20,71.08,2006-02-26,owg2006
23,GOLOVINA Julia / VOIKO Oleg,UKR,128.49,23,23.88,24,39.92,23,64.69,2006-02-26,owg2006
WD,DUBREUIL Marie-France / LAUZON Patrice,CAN,91.8,4,37.44,7,54.36,WD,WD,2006-02-26,owg2006
