8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Tiffany STIEGLER / Sergei MAGEROVSKI,USA,0,23.71,13.46,11.25,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,1S1,,1.7,False,-0.06,-1,0,1,0,-1,0,0,0,,1.64
2,1S2,,2.2,False,0.0,0,0,0,0,0,-1,0,0,,2.2
3,1S3,,2.6,False,-1.0,-2,-2,-3,-2,-2,-2,-2,-2,,1.6
4,2S1,,2.5,False,-0.56,-2,-1,0,-1,-1,0,-1,-1,,1.94
5,2S2,,3.0,False,0.0,-1,0,0,0,0,0,0,0,,3.0
6,2S3,,3.5,False,-0.42,-1,0,-1,0,0,-1,-1,-1,,3.08
,,,15.5,,,,,,,,,,,,13.46
,Program Components,,,,Factor
,Skating Skills ,,,,0.75,4.75,5.25,4.0,5.75,4.25,5.5,4.25,4.75,,4.8
,Timing ,,,,0.75,3.5,5.0,3.25,4.75,4.0,4.75,4.0,4.25,,4.2
,Performance / Execution ,,,,0.5,4.75,4.5,3.75,5.0,4.25,4.5,4.0,4.25,,4.4
,Interpretation ,,,,0.5,4.5,5.0,4.0,5.25,4.5,4.75,4.25,4.5,,4.6
,,,,,,,,,,,,,,,11.25
Deduction,Falls,-1.0
