Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpfra2017,2017-11-19,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,201.98000000000002,1,81.4,1,120.58
2,gpfra2017,2017-11-19,Madison CHOCK / Evan BATES,USA,181.85,2,73.55,2,108.3
3,gpfra2017,2017-11-19,Alexandra STEPANOVA / Ivan BUKIN,RUS,177.24,3,70.02,4,107.22
4,gpfra2017,2017-11-19,Kaitlyn WEAVER / Andrew POJE,CAN,176.97,5,68.94,3,108.03
5,gpfra2017,2017-11-19,Charlene GUIGNARD / Marco FABBRI,ITA,171.01,4,69.73,5,101.28
6,gpfra2017,2017-11-19,Angelique ABACHKINA / Louis THAURON,FRA,155.55,8,59.81,6,95.74
7,gpfra2017,2017-11-19,Elliana POGREBINSKY / Alex BENOIT,USA,154.14,6,60.64,7,93.5
8,gpfra2017,2017-11-19,Natalia KALISZEK / Maksym SPODYRIEV,POL,147.76999999999998,9,58.58,8,89.19
9,gpfra2017,2017-11-19,Alla LOBODA / Pavel DROZD,RUS,145.85,7,60.43,9,85.42
10,gpfra2017,2017-11-19,Lorenza ALESSANDRINI / Pierre SOUQUET,FRA,134.28,10,54.07,10,80.21
