Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpfra2017,2017-11-19,Javier FERNANDEZ,ESP,283.71,1,107.86,2,175.85
2,gpfra2017,2017-11-19,Shoma UNO,JPN,273.32,2,93.92,1,179.4
3,gpfra2017,2017-11-19,Misha GE,UZB,258.34000000000003,6,85.41,3,172.93
4,gpfra2017,2017-11-19,Alexander SAMARIN,RUS,253.13,3,91.51,4,161.62
5,gpfra2017,2017-11-19,Alexei BYCHENKO,ISR,247.44,5,86.79,5,160.65
6,gpfra2017,2017-11-19,Moris KVITELASHVILI,GEO,240.5,4,86.98,8,153.52
7,gpfra2017,2017-11-19,Max AARON,USA,237.2,8,78.64,6,158.56
8,gpfra2017,2017-11-19,Denis TEN,KAZ,228.57,7,83.7,10,144.87
9,gpfra2017,2017-11-19,Vincent ZHOU,USA,222.21,10,66.12,7,156.09
10,gpfra2017,2017-11-19,Kevin AYMOZ,FRA,220.43,9,70.0,9,150.43
11,gpfra2017,2017-11-19,Romain PONSART,FRA,198.12,11,63.81,11,134.31
