ISU GP Internationaux de France de Patinage 2017,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Shoma UNO JPN  11  179.40,,90.20,91.20,2.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Lo  12.00  1.86 2 2 1 2 2,,0 2,2 2,13.86,
2 3A  8.50  2.57 3 3 2 3 2,,1 3,2 3,11.07,
3 3Lz  6.00 -0.70 -1 -1 -1 -1 -1,,-1 -1,-1 -1,5.30,
4 FCSp4  3.20  1.00 1 2 2 2 2,,2 2,2 2,4.20,
5 FCCoSp4  3.50  1.00 2 2 2 2 2,,2 2,2 2,4.50,
6 StSq3  3.30  1.00 2 2 2 2 2,,2 2,2 2,4.30,
7 4F< <  9.46 x -3.77 -2 -3 -2 -3 -3,,-3 -3,-3 -3,5.69,
8 4T< <  8.80 x -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,4.80,
9 4T+REP  7.93 x  0.14 0 1 0 0 -1,,0 0,0 1,8.07,
10 3A+1Lo+3F  15.73 x -3.00 -3 -2 -3 -3 -3,,-3 -3,-3 -3,12.73,
11 3S+2T  6.27 x  0.90 1 2 1 1 1,,0 2,1 2,7.17,
12 ChSq1  2.00  1.80 3 3 3 2 3,,2 2,2 3,3.80,
13 CCoSp4  3.50  1.21 3 3 1 3 3,,2 2,2 2,4.71,
90.19,,,,90.20,
Program Components Factor,,,,,
Skating Skills  2.00 9.00 9.25 9.25 9.25 9.50,,9.50 9.25,9.25 9.50,9.32,
Transitions  2.00 9.00 9.00 9.00 8.75 9.00,,9.50 8.75,8.75 9.50,9.00,
Performance  2.00 8.25 9.50 8.25 8.75 8.75,,9.25 9.25,8.75 9.25,8.89,
Composition  2.00 9.25 9.00 9.00 9.25 9.25,,9.25 9.25,9.00 9.50,9.18,
Interpretation of the Music  2.00 9.00 9.50 9.00 9.25 9.50,,9.25 9.00,8.75 9.50,9.21,
Judges Total Program Component Score (factored),,,,91.20,
Deductions Falls: -2.00(2),,,,-2.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1REP Jump repetition",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Javier FERNANDEZ ESP  10  175.85,,85.49,92.36,2.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4T  10.30  1.00 2 2 0 0 1,,1 -1,1 2,11.30,
2 4S+2T  11.80  1.86 3 2 1 2 2,,1 2,2 2,13.66,
3 3A  8.50 -1.43 -1 -1 -1 -1 -2,,-2 -1,-2 -2,7.07,
4 ChSq1  2.00  1.50 2 1 2 2 2,,3 3,2 2,3.50,
5 CSSp4  3.00  1.07 3 2 2 1 2,,2 3,2 2,4.07,
6 4S  11.55 x -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,7.55,
7 3Lo  5.61 x -0.70 -1 -1 -1 0 -1,,-1 -1,-1 -1,4.91,
8 3A<+REP <  4.54 x -3.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,1.54,
9 3Lz  6.60 x  1.20 2 2 2 2 2,,0 1,1 2,7.80,
10 3F+1Lo+3S  11.22 x -1.30 -2 -2 -1 -2 -1,,-2 -2,-3 -2,9.92,
11 FCCoSp4  3.50  0.57 1 2 1 0 1,,1 2,1 1,4.07,
12 StSq4  3.90  1.70 3 3 3 1 2,,2 2,2 3,5.60,
