ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
5 3F  5.83 x  1.00 2 1 2 -1 2,1 1,2 1,6.83,
6 StSq4  3.90  1.40 2 1 2 2 2,2 2,2 2,5.30,
7 LSp4  2.70  1.21 3 3 3 2 3,2 2,2 1,3.91,
28.86,,,31.93,
Program Components Factor,,,,
Skating Skills  0.80 8.25 8.25 8.50 7.75 8.50,7.75 8.25,8.50 8.50,8.29,
Transitions  0.80 7.75 7.50 8.00 7.25 8.25,7.75 7.75,8.00 8.00,7.82,
Performance  0.80 8.25 8.00 8.50 7.50 8.00,8.00 8.00,8.25 8.25,8.11,
Composition  0.80 8.50 8.25 8.25 7.50 8.25,7.75 8.25,8.50 8.25,8.21,
Interpretation of the Music  0.80 8.50 8.50 8.75 7.25 8.25,8.25 8.00,8.75 8.25,8.36,
Judges Total Program Component Score (factored),,,32.64,
Deductions,,,0.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
5 Alina ZAGITOVA RUS  5  62.46,32.27,31.19,1.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 FCSp4  3.20  1.07 3 2 2 2 3,1 2,2 2,4.27,
2 StSq4  3.90  1.50 3 2 2 3 2,2 2,2 2,5.40,
3 3Lz< <  4.62 x -2.10 -3 -3 -3 -3 -3,-3 -3,-3 -3,2.52,
4 3F+3Lo< <  9.79 x -1.90 -3 -3 -3 -2 -3,-2 -3,-3 -2,7.89,
5 2A  3.63 x  0.50 1 0 0 2 2,1 0,1 2,4.13,
6 LSp4  2.70  1.00 2 2 2 2 2,2 2,1 2,3.70,
7 CCoSp4  3.50  0.86 2 2 2 2 1,1 2,1 2,4.36,
31.34,,,32.27,
Program Components Factor,,,,
Skating Skills  0.80 8.00 8.25 8.00 8.25 7.50,6.75 7.50,7.75 8.50,7.89,
Transitions  0.80 8.25 7.50 7.75 8.25 7.25,7.25 7.25,7.50 8.25,7.68,
Performance  0.80 7.75 7.50 7.50 8.00 7.00,7.50 7.25,7.50 8.50,7.57,
Composition  0.80 8.25 8.00 7.75 8.50 7.25,7.50 7.50,7.75 8.50,7.89,
Interpretation of the Music  0.80 8.00 8.25 8.00 8.50 7.50,7.75 7.25,7.75 8.75,7.96,
Judges Total Program Component Score (factored),,,31.19,
Deductions Falls: -1.00(1),,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
6 Elizabet TURSYNBAEVA KAZ  9  62.29,30.89,31.40,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 1Lz* *  0.00  0.00 - - - - -,- -,- -,0.00,
2 CCoSp4  3.50  0.79 2 1 2 2 1,2 1,1 2,4.29,
3 3S+3T  9.57 x  1.20 1 2 2 2 3,1 1,2 2,10.77,
4 2A  3.63 x  0.71 1 1 2 1 2,1 1,2 2,4.34,
5 FCSp4  3.20  0.43 1 0 1 1 1,1 1,0 2,3.63,
6 LSp4  2.70  0.93 2 2 2 1 2,2 2,1 2,3.63,
7 StSq3  3.30  0.93 3 2 2 2 2,1 2,1 2,4.23,
25.90,,,30.89,
Program Components Factor,,,,
Skating Skills  0.80 7.75 8.25 7.75 8.00 7.50,7.75 7.75,7.75 8.25,7.86,
Transitions  0.80 8.25 7.75 7.00 7.75 7.25,8.00 7.50,7.25 8.00,7.64,
Performance  0.80 8.00 8.25 7.75 8.25 7.50,8.25 7.75,7.75 8.25,8.00,
Composition  0.80 8.25 8.00 7.50 8.00 7.25,7.75 7.75,7.50 8.25,7.82,
Interpretation of the Music  0.80 8.50 8.50 8.00 7.75 7.50,8.00 7.50,7.50 8.25,7.93,
Judges Total Program Component Score (factored),,,31.40,
Deductions,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
7 Laurine LECAVELIER FRA  6  60.68,31.21,29.47,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3Lz+3T< <  9.00 -2.00 -3 -3 -3 -3 -3,-2 -3,-3 -2,7.00,
2 FCSp3  2.80  0.71 2 1 1 1 2,1 2,2 1,3.51,
3 StSq3  3.30  0.64 2 1 1 1 2,0 1,2 1,3.94,
4 3F  5.83 x  0.50 0 0 1 0 2,1 1,1 1,6.33,
5 2A  3.63 x  0.71 1 1 1 2 2,1 2,2 1,4.34,
6 CCoSp4  3.50 -0.17 -1 0 0 -1 0,-1 -1,0 -1,3.33,
7 LSp3  2.40  0.36 0 0 1 -1 1,1 1,1 1,2.76,
30.46,,,31.21,
Program Components Factor,,,,
Skating Skills  0.80 7.25 7.75 7.75 7.75 6.75,6.75 7.25,7.75 7.00,7.36,
Transitions  0.80 6.75 7.50 7.25 7.50 6.50,7.00 6.75,7.50 6.75,7.07,
Performance  0.80 7.25 8.25 7.50 7.75 6.50,7.25 7.25,8.00 7.25,7.46,
Composition  0.80 7.25 8.25 7.50 7.75 6.75,7.25 7.25,7.50 7.00,7.36,
Interpretation of the Music  0.80 7.50 8.50 7.75 7.75 7.00,7.50 7.25,8.25 6.75,7.57,
Judges Total Program Component Score (factored),,,29.47,
Deductions,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
8 Mae Berenice MEITE FRA  3  58.96,31.85,27.11,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 3F+3T  9.60  0.00 0 0 0 0 1,0 0,0 0,9.60,
2 CCoSp4  3.50  0.43 1 1 1 1 1,0 1,1 0,3.93,
3 FCSp4  3.20  0.13 -1 0 0 1 1,-1 1,1 -1,3.33,
