ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
"# GOE J1 J2 J3 J4 J5",,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Lz<+3T <  13.80 -0.69 -1 -1 0 -1 -1,,0 0,0 -1,13.11,
2 4T  10.30  0.57 0 1 0 0 0,,1 1,1 1,10.87,
3 FCSp4  3.20  0.79 2 1 1 2 1,,2 2,1 2,3.99,
4 3A  9.35 x  1.86 2 2 2 1 2,,2 1,2 2,11.21,
5 CSSp4  3.00  0.50 1 1 2 0 1,,1 1,1 1,3.50,
6 StSq3  3.30  0.64 1 1 2 1 1,,2 1,1 2,3.94,
7 CCoSp4  3.50  0.86 2 2 1 1 2,,2 2,2 1,4.36,
46.45,,,,50.98,
Program Components Factor,,,,,
Skating Skills  1.00 8.25 8.75 8.25 7.75 8.50,,8.50 8.00,8.50 7.75,8.25,
Transitions  1.00 7.25 8.25 7.75 7.50 7.50,,8.25 7.75,8.00 7.75,7.79,
Performance  1.00 8.00 8.50 8.00 8.00 8.00,,8.50 8.25,8.25 8.00,8.14,
Composition  1.00 8.00 8.50 8.00 8.00 7.75,,8.50 8.25,8.25 8.00,8.14,
Interpretation of the Music  1.00 7.50 8.50 8.25 7.75 8.25,,8.25 8.25,8.50 8.25,8.21,
Judges Total Program Component Score (factored),,,,40.53,
Deductions,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
4 Moris KVITELASHVILI GEO  4  86.98,,48.98,39.00,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3A  8.50  2.00 2 2 2 2 2,,2 2,2 2,10.50,
2 4S+3T  14.80  1.43 2 1 2 1 2,,1 1,2 1,16.23,
3 FCSp4  3.20  0.21 0 1 1 0 0,,1 0,0 1,3.41,
4 CSSp4  3.00  0.64 2 1 1 -1 1,,2 1,1 2,3.64,
5 4T  11.33 x -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,7.33,
6 StSq3  3.30  0.57 1 1 1 1 1,,2 1,2 1,3.87,
7 CCoSp4  3.50  0.50 1 1 1 0 1,,2 1,1 1,4.00,
47.63,,,,48.98,
Program Components Factor,,,,,
Skating Skills  1.00 7.75 7.75 8.00 7.50 8.00,,8.50 8.00,8.25 7.75,7.93,
Transitions  1.00 7.00 7.25 7.75 7.25 7.75,,8.50 7.75,7.75 7.50,7.57,
Performance  1.00 7.00 7.50 7.75 7.50 7.75,,8.25 8.25,8.00 7.50,7.75,
Composition  1.00 7.50 7.75 8.00 7.75 7.50,,8.50 8.25,8.25 7.75,7.89,
Interpretation of the Music  1.00 7.50 7.75 8.00 7.50 7.75,,8.25 8.00,8.50 7.75,7.86,
Judges Total Program Component Score (factored),,,,39.00,
Deductions Falls: -1.00(1),,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
5 Alexei BYCHENKO ISR  9  86.79,,46.29,40.50,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3A  8.50  1.71 2 2 2 2 1,,1 1,2 2,10.21,
2 4T  10.30  0.14 0 1 1 0 0,,0 0,0 0,10.44,
3 CCoSp3  3.00  0.43 0 1 1 1 0,,1 1,2 1,3.43,
4 3Lz+3T  11.33 x  0.90 2 1 2 2 1,,1 1,1 1,12.23,
5 FCSp3  2.80  0.36 0 2 1 1 0,,0 1,1 1,3.16,
6 StSq2  2.60  0.79 1 2 3 1 1,,2 1,2 2,3.39,
7 CSSp4  3.00  0.43 1 1 1 0 0,,1 1,1 1,3.43,
41.53,,,,46.29,
Program Components Factor,,,,,
Skating Skills  1.00 7.75 8.25 8.50 7.50 8.00,,8.25 8.00,8.25 7.75,8.04,
Transitions  1.00 7.00 8.00 8.00 7.25 7.25,,8.00 7.75,8.00 7.75,7.71,
Performance  1.00 8.25 8.75 9.00 8.25 7.75,,8.25 8.25,8.25 8.25,8.32,
Composition  1.00 8.00 8.25 8.75 8.00 7.50,,8.25 8.25,8.25 8.25,8.18,
Interpretation of the Music  1.00 8.00 8.50 9.00 8.25 7.75,,8.25 8.25,8.50 8.00,8.25,
Judges Total Program Component Score (factored),,,,40.50,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
6 Misha GE UZB  6  85.41,,43.13,42.28,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3A  8.50  1.14 1 1 1 1 1,,1 1,2 2,9.64,
2 3Lz+3T  10.30  0.70 1 1 1 0 1,,0 2,2 1,11.00,
3 CCSp4  3.20  0.64 0 1 2 1 0,,1 2,2 2,3.84,
4 3F !  5.83 x  0.00 -1 0 0 0 1,,0 0,0 0,5.83,
5 FSSp3  2.60  0.79 1 2 2 1 1,,2 1,2 2,3.39,
6 StSq4  3.90  1.60 3 2 3 2 2,,2 2,3 2,5.50,
7 CCoSp3  3.00  0.93 2 2 2 1 2,,2 2,2 1,3.93,
37.33,,,,43.13,
Program Components Factor,,,,,
Skating Skills  1.00 8.00 8.50 8.50 8.00 7.25,,8.25 8.75,9.25 8.50,8.36,
