Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpfra2017,2017-11-19,Alina ZAGITOVA,RUS,213.8,5,62.46,1,151.34
2,gpfra2017,2017-11-19,Maria SOTSKOVA,RUS,208.78000000000003,2,67.79,2,140.99
3,gpfra2017,2017-11-19,Kaetlyn OSMOND,CAN,206.76999999999998,1,69.05,4,137.72
4,gpfra2017,2017-11-19,Mai MIHARA,JPN,202.12,4,64.57,5,137.55
5,gpfra2017,2017-11-19,Elizabet TURSYNBAEVA,KAZ,200.98,6,62.29,3,138.69
6,gpfra2017,2017-11-19,Yuna SHIRAIWA,JPN,193.18,3,66.05,6,127.13
7,gpfra2017,2017-11-19,Nicole SCHOTT,GER,172.39,10,55.54,7,116.85
8,gpfra2017,2017-11-19,Mae Berenice MEITE,FRA,171.4,8,58.96,9,112.44
9,gpfra2017,2017-11-19,Elizaveta TUKTAMYSHEVA,RUS,167.65,11,53.03,8,114.62
10,gpfra2017,2017-11-19,Polina EDMUNDS,USA,157.76999999999998,9,56.31,10,101.46
11,gpfra2017,2017-11-19,Laurine LECAVELIER,FRA,154.35,7,60.68,11,93.67
