Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,186.68,2,74.92,1,111.76,2016-11-06,gprus2016
2,Madison CHOCK / Evan BATES,USA,182.13,1,75.04,3,107.09,2016-11-06,gprus2016
3,Kaitlyn WEAVER / Andrew POJE,CAN,178.57,3,69.81,2,108.76,2016-11-06,gprus2016
4,Charlene GUIGNARD / Marco FABBRI,ITA,170.45,4,67.72,4,102.73,2016-11-06,gprus2016
5,Tiffany ZAHORSKI / Jonathan GUERREIRO,RUS,156.95,5,64.28,5,92.67,2016-11-06,gprus2016
6,Elliana POGREBINSKY / Alex BENOIT,USA,153.92,6,62.93,6,90.99,2016-11-06,gprus2016
7,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,152.52,7,62.82,7,89.7,2016-11-06,gprus2016
8,Alisa AGAFONOVA / Alper UCAR,TUR,143.9,8,59.31,8,84.59,2016-11-06,gprus2016
9,Sofia EVDOKIMOVA / Egor BAZIN,RUS,133.37,9,55.83,9,77.54,2016-11-06,gprus2016
10,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,129.55,10,54.64,10,74.91,2016-11-06,gprus2016
