Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Anna POGORILAYA,RUS,215.21,1,73.93,1,141.28,2016-11-06,gprus2016
2,Elena RADIONOVA,RUS,195.6,2,71.93,2,123.67,2016-11-06,gprus2016
3,Courtney HICKS,USA,182.98,6,63.68,3,119.3,2016-11-06,gprus2016
4,Zijun LI,CHN,181.83,5,63.89,4,117.94,2016-11-06,gprus2016
5,Elizabet TURSYNBAEVA,KAZ,181.32,4,64.31,5,117.01,2016-11-06,gprus2016
6,Yura MATSUDA,JPN,177.65,7,61.57,6,116.08,2016-11-06,gprus2016
7,Nicole RAJICOVA,SVK,167.56,8,57.91,7,109.65,2016-11-06,gprus2016
8,Roberta RODEGHIERO,ITA,159.8,12,52.57,8,107.23,2016-11-06,gprus2016
9,Anastasia GALUSTYAN,ARM,159.26,9,55.93,9,103.33,2016-11-06,gprus2016
10,Angelina KUCHVALSKA,LAT,151.09,11,54.29,10,96.8,2016-11-06,gprus2016
11,Kanako MURAKAMI,JPN,151.03,10,55.25,11,95.78,2016-11-06,gprus2016
12,Julia LIPNITSKAIA,RUS,148.13,3,69.25,12,78.88,2016-11-06,gprus2016
