ISU GP HomeSense Skate Canada International 2009,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
1 Joannie ROCHETTE CAN  11  112.90,50.02,,62.88,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3Lz+2T+2Lo  8.80  0.60 1 1 1 0 0,1 0,,0 0,9.40,
2 3F  5.50 -1.80 -2 -2 -2 -2 -2,-1 -1,,-2 -2,3.70,
3 3Lo  5.00 -1.20 -1 -1 -1 -1 -2,-1 -2,,-1 -1,3.80,
4 FCSSp2  2.30  0.30 0 1 0 1 1,1 0,,0 1,2.60,
"",Info,,,,Info
5 SpSq3  3.10  0.20 1 1 1 1 0,0 0,,0 0,3.30,
6 2Lz  2.09 x -0.06 0 0 -1 0 -1,0 0,,0 0,2.03,
7 3T+3S+SEQ  7.48 x  1.00 1 2 1 1 1,1 1,,1 1,8.48,
8 2A+2T  5.28 x  0.60 0 1 1 0 1,0 0,,0 1,5.88,
9 CCoSp2  2.50  0.30 0 0 1 0 1,1 0,,-1 1,2.80,
10 2S  1.43 x  0.00 0 0 0 0 -1,0 0,,0 0,1.43,
11 CiSt3  3.30  0.70 1 1 2 1 2,2 1,,1 1,4.00,
12 FSSp2  2.30  0.30 0 1 1 1 0,1 0,,1 1,2.60,
49.08,,,,50.02,
Program Components Factor,,,,,
Skating Skills  1.60 7.75 7.75 8.25 7.50 8.00,8.50 8.00,,8.25 8.25,8.05,
Transition / Linking Footwork  1.60 7.75 7.25 7.75 6.50 7.50,8.00 7.50,,7.75 7.75,7.65,
Performance / Execution  1.60 7.25 7.50 8.00 7.50 7.50,8.00 7.00,,7.75 7.00,7.45,
Choreography / Composition  1.60 8.00 7.25 8.00 7.75 7.75,8.25 9.00,,8.50 8.50,8.10,
Interpretation  1.60 7.50 8.25 8.25 7.50 7.50,8.25 8.00,,8.50 8.50,8.05,
Judges Total Program Component Score (factored),,,,62.88,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
2 Laura LEPISTÖ FIN  8  102.78,48.62,,54.16,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 2T+2T  2.60  0.00 0 0 0 0 -1,0 0,,0 0,2.60,
2 3Lz  6.00 -0.40 0 0 -1 0 -1,0 0,,1 -1,5.60,
3 3Lo  5.00 -1.00 -1 -1 -1 -1 -1,0 -1,,-1 -2,4.00,
4 FSSp4  3.00  0.40 1 0 1 0 1,-1 1,,0 1,3.40,
5 LSp4  2.70  0.70 2 2 2 1 1,0 1,,0 1,3.40,
6 2A  3.85 x -0.80 -1 -1 -1 -1 -1,-1 -2,,-1 -1,3.05,
7 3Lo+2T  6.93 x  0.00 0 0 0 0 0,0 0,,0 0,6.93,
8 SpSq3  3.10  0.50 1 1 1 1 2,0 1,,0 1,3.60,
9 2A  3.85 x  0.60 1 0 0 0 1,1 1,,0 1,4.45,
10 2S+2T+2T  4.29 x  0.00 0 0 -1 0 0,0 0,,0 0,4.29,
11 CiSt3  3.30  0.50 1 1 1 1 2,1 1,,1 1,3.80,
12 CCoSp3  3.00  0.50 1 1 0 1 1,1 1,,1 1,3.50,
47.62,,,,48.62,
Program Components Factor,,,,,
Skating Skills  1.60 6.75 7.00 6.75 6.50 7.50,7.25 6.75,,6.25 7.25,6.90,
