12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
51,Lejeanne MARAIS,RSA,0,25.85,14.94,12.91,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,2A,,3.5,False,-0.34,0,-1,-1,-1,0,0,0,0,0,0,0,-1,,3.16
2,3S<,,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
3,CCoSp3,,3.0,False,0.0,0,0,-1,0,-1,-1,0,0,0,0,0,0,,3.0
4,SpSq4,,3.4,False,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,,3.4
5,1Lz+COMBO,e,0.6,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
6,LSp2,,1.8,False,-0.13,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,,1.67
7,SlSt1,,1.8,False,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,,1.8
8,FSSp1,,1.7,False,-0.39,-1,-1,-2,-2,-1,-2,-1,-1,-2,0,0,-2,,1.31
,,,17.1,,,,,,,,,,,,,,,,14.94
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,3.5,4.0,2.75,3.25,3.5,2.5,3.75,3.0,3.25,3.25,3.5,3.0,,3.29
,Transition / Linking Footwork  ,,,,0.8,3.25,3.5,3.0,2.75,3.25,2.75,3.5,2.5,2.75,3.0,3.25,2.75,,3.0
,Performance / Execution  ,,,,0.8,3.5,3.75,3.0,3.0,3.75,3.25,3.5,2.75,3.0,3.25,3.25,3.0,,3.14
,Choreography / Composition  ,,,,0.8,3.75,4.0,3.0,3.25,3.5,3.0,4.0,2.75,3.0,3.25,3.75,3.0,,3.32
,Interpretation  ,,,,0.8,3.5,3.75,3.25,3.25,3.75,3.25,4.25,2.75,3.0,3.5,4.0,3.0,,3.39
,,,,,,,,,,,,,,,,,,,12.91
Deduction,Time violation,-1.0
Deduction,Falls,-1.0
