Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Elena GRUSHINA / Ruslan GONCHAROV,UKR,190.07,1,36.81,1,57.93,1,95.33,2005-11-20,gpfra05
2,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,178.72,2,35.55,2,55.43,2,87.74,2005-11-20,gpfra05
3,Federica FAIELLA / Massimo SCALI,ITA,157.23,3,31.98,4,47.44,4,77.81,2005-11-20,gpfra05
4,Morgan MATTHEWS / Maxim ZAVOZIN,USA,154.18,6,27.85,3,47.61,3,78.72,2005-11-20,gpfra05
5,Nathalie PECHALAT / Fabian BOURZAT,FRA,150.13,8,27.18,7,45.2,5,77.75,2005-11-20,gpfra05
6,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,150.05,5,28.12,5,46.02,7,75.91,2005-11-20,gpfra05
7,Christina BEIER / William BEIER,GER,149.96,7,27.46,6,45.66,6,76.84,2005-11-20,gpfra05
8,Nozomi WATANABE / Akiyuki KIDO,JPN,145.8,4,28.68,8,45.1,9,72.02,2005-11-20,gpfra05
9,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,142.12,9,26.08,10,43.62,8,72.42,2005-11-20,gpfra05
10,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,139.77,11,24.36,9,44.11,10,71.3,2005-11-20,gpfra05
11,Pernelle CARRON / Mathieu JOST,FRA,134.7,10,25.16,11,39.19,11,70.35,2005-11-20,gpfra05
