Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Mao ASADA,JPN,182.42,1,63.96,1,118.46,2005-11-20,gpfra05
2,Sasha COHEN,USA,175.12,2,60.96,3,114.16,2005-11-20,gpfra05
3,Shizuka ARAKAWA,JPN,173.3,3,57.98,2,115.32,2005-11-20,gpfra05
4,Joannie ROCHETTE,CAN,167.22,4,57.08,5,110.14,2005-11-20,gpfra05
5,Kimmie MEISSNER,USA,155.72,6,44.92,4,110.8,2005-11-20,gpfra05
6,Elena SOKOLOVA,RUS,152.52,5,48.2,6,104.32,2005-11-20,gpfra05
7,Annette DYTRT,GER,131.88,7,44.38,7,87.5,2005-11-20,gpfra05
8,Galina EFREMENKO,UKR,107.98,9,37.48,8,70.5,2005-11-20,gpfra05
9,Anne Sophie CALVEZ,FRA,102.9,10,36.72,10,66.18,2005-11-20,gpfra05
10,Fleur MAXWELL,LUX,102.44,11,34.06,9,68.38,2005-11-20,gpfra05
11,Nadege BOBILLIER,FRA,101.96,8,38.3,11,63.66,2005-11-20,gpfra05
