Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tatiana TOTMIANINA / Maxim MARININ,RUS,186.9,1,66.5,1,120.4,2005-11-20,gpfra05
2,Qing PANG / Jian TONG,CHN,182.64,2,62.26,2,120.38,2005-11-20,gpfra05
3,Valerie MARCOUX / Craig BUNTIN,CAN,174.92,3,58.44,3,116.48,2005-11-20,gpfra05
4,Rena INOUE / John BALDWIN,USA,163.66,4,53.46,4,110.2,2005-11-20,gpfra05
5,Natalia SHESTAKOVA / Pavel LEBEDEV,RUS,139.28,5,50.24,5,89.04,2005-11-20,gpfra05
6,Brooke CASTILE / Benjamin OKOLSKI,USA,130.26,8,41.86,6,88.4,2005-11-20,gpfra05
7,Angelika PYLKINA / Niklas HOGNER,SWE,128.94,7,42.32,7,86.62,2005-11-20,gpfra05
8,Rebecca HANDKE / Daniel WENDE,GER,128.74,6,44.72,8,84.02,2005-11-20,gpfra05
9,Marylin PLA / Yannick BONHEUR,FRA,123.34,9,40.9,9,82.44,2005-11-20,gpfra05
10,Diana RENNIK / Aleksei SAKS,EST,106.48,10,32.12,10,74.36,2005-11-20,gpfra05
