Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpcan2017,2017-10-29,Shoma UNO,JPN,301.1,1,103.62,1,197.48
2,gpcan2017,2017-10-29,Jason BROWN,USA,261.14,3,90.71,2,170.43
3,gpcan2017,2017-10-29,Alexander SAMARIN,RUS,250.06,4,84.02,3,166.04
4,gpcan2017,2017-10-29,Patrick CHAN,CAN,245.70000000000002,2,94.43,7,151.27
5,gpcan2017,2017-10-29,Jorik HENDRICKX,BEL,237.31,6,82.08,5,155.23
6,gpcan2017,2017-10-29,Michal BREZINA,CZE,237.04,7,80.34,4,156.7
7,gpcan2017,2017-10-29,Nicolas NADEAU,CAN,229.43,9,74.23,6,155.2
8,gpcan2017,2017-10-29,Keegan MESSING,CAN,217.75,5,82.17,10,135.58
9,gpcan2017,2017-10-29,Jun Hwan CHA,KOR,210.32,11,68.46,8,141.86
10,gpcan2017,2017-10-29,Paul FENTZ,GER,201.60000000000002,10,68.48,11,133.12
11,gpcan2017,2017-10-29,Brendan KERRY,AUS,201.56,12,63.19,9,138.37
12,gpcan2017,2017-10-29,Takahito MURA,JPN,186.66,8,74.82,12,111.84
