Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpcan2017,2017-10-29,Kaetlyn OSMOND,CAN,212.91,1,76.06,1,136.85
2,gpcan2017,2017-10-29,Maria SOTSKOVA,RUS,192.51999999999998,3,66.1,2,126.42
3,gpcan2017,2017-10-29,Ashley WAGNER,USA,183.94,7,61.57,4,122.37
4,gpcan2017,2017-10-29,Courtney HICKS,USA,182.57,4,64.06,5,118.51
5,gpcan2017,2017-10-29,Marin HONDA,JPN,178.24,10,52.6,3,125.64
6,gpcan2017,2017-10-29,Rika HONGO,JPN,176.34,6,61.6,6,114.74
7,gpcan2017,2017-10-29,Karen CHEN,USA,170.4,5,61.77,7,108.63
8,gpcan2017,2017-10-29,Laurine LECAVELIER,FRA,166.43,8,59.08,8,107.35
9,gpcan2017,2017-10-29,Anna POGORILAYA,RUS,156.89,2,69.05,10,87.84
10,gpcan2017,2017-10-29,Kailani CRAINE,AUS,143.03,9,54.96,9,88.07
11,gpcan2017,2017-10-29,Alaine CHARTRAND,CAN,134.17,11,46.51,11,87.66
12,gpcan2017,2017-10-29,Larkyn AUSTMAN,CAN,123.56,12,41.79,12,81.77
