Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpcan2017,2017-10-29,Tessa VIRTUE / Scott MOIR,CAN,199.86,1,82.68,1,117.18
2,gpcan2017,2017-10-29,Kaitlyn WEAVER / Andrew POJE,CAN,190.01,2,77.47,3,112.54
3,gpcan2017,2017-10-29,Madison HUBBELL / Zachary DONOHUE,USA,189.43,3,76.08,2,113.35
4,gpcan2017,2017-10-29,Kaitlin HAWAYEK / Jea-Luc BAKER,USA,165.2,5,63.1,4,102.1
5,gpcan2017,2017-10-29,Alla LOBODA / Pavel DROZD,RUS,155.72,6,62.6,5,93.12
6,gpcan2017,2017-10-29,Olivia SMART / Adria DIAZ,ESP,154.81,4,64.34,7,90.47
7,gpcan2017,2017-10-29,Carolane SOUCISSE / Shane FIRUS,CAN,150.27,7,57.77,6,92.5
8,gpcan2017,2017-10-29,Kavita LORENZ / Joti POLIZOAKIS,GER,146.07999999999998,8,56.41,8,89.67
9,gpcan2017,2017-10-29,Natalia KALISZEK / Maksym SPODYRIEV,POL,144.78,9,55.92,9,88.86
10,gpcan2017,2017-10-29,Alisa AGAFONOVA / Alper UCAR,TUR,140.83,10,54.74,10,86.09
