Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpcan2017,2017-10-29,Meagan DUHAMEL / Eric RADFORD,CAN,222.22,2,73.53,1,148.69
2,gpcan2017,2017-10-29,Aliona SAVCHENKO / Bruno MASSOT,GER,215.66,1,77.34,3,138.32
3,gpcan2017,2017-10-29,Vanessa JAMES / Morgan CIPRES,FRA,214.37,3,73.04,2,141.33
4,gpcan2017,2017-10-29,Natalia ZABIIAKO / Alexander ENBERT,RUS,192.7,4,69.0,4,123.7
5,gpcan2017,2017-10-29,Cheng PENG / Yang JIN,CHN,182.5,7,61.58,5,120.92
6,gpcan2017,2017-10-29,Liubov ILYUSHECHKINA / Dylan MOSCOVITCH,CAN,176.35000000000002,5,64.06,6,112.29
7,gpcan2017,2017-10-29,Haven DENNEY / Brandon FRAZIER,USA,172.95,6,63.26,7,109.69
8,gpcan2017,2017-10-29,Sydney KOLODZIEJ / Maxime DESCHAMPS,CAN,164.03,8,59.06,8,104.97
