Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgenia MEDVEDEVA,RUS,223.86,3,73.76,1,150.1,2016-04-03,wc2016
2,Ashley WAGNER,USA,215.39,4,73.16,2,142.23,2016-04-03,wc2016
3,Anna POGORILAYA,RUS,213.69,2,73.98,4,139.71,2016-04-03,wc2016
4,Gracie GOLD,USA,211.29,1,76.43,6,134.86,2016-04-03,wc2016
5,Satoko MIYAHARA,JPN,210.61,6,70.72,3,139.89,2016-04-03,wc2016
6,Elena RADIONOVA,RUS,209.81,5,71.7,5,138.11,2016-04-03,wc2016
7,Mao ASADA,JPN,200.3,9,65.87,7,134.43,2016-04-03,wc2016
8,Rika HONGO,JPN,199.15,7,69.89,8,129.26,2016-04-03,wc2016
9,Gabrielle DALEMAN,CAN,195.68,8,67.38,9,128.3,2016-04-03,wc2016
10,Mirai NAGASU,USA,186.65,10,65.74,11,120.91,2016-04-03,wc2016
11,Zijun LI,CHN,184.52,11,65.39,12,119.13,2016-04-03,wc2016
12,Elizabet TURSYNBAEVA,KAZ,183.62,12,61.63,10,121.99,2016-04-03,wc2016
13,Nicole RAJICOVA,SVK,173.05,15,56.56,13,116.49,2016-04-03,wc2016
14,Da Bin CHOI,KOR,159.92,16,56.02,15,103.9,2016-04-03,wc2016
15,Angelina KUCHVALSKA,LAT,158.99,18,54.78,14,104.21,2016-04-03,wc2016
16,Roberta RODEGHIERO,ITA,158.41,13,57.9,19,100.51,2016-04-03,wc2016
17,Alaine CHARTRAND,CAN,157.82,17,55.67,17,102.15,2016-04-03,wc2016
18,So Youn PARK,KOR,154.24,22,52.27,18,101.97,2016-04-03,wc2016
19,Anna KHNYCHENKOVA,UKR,154.02,19,53.86,20,100.16,2016-04-03,wc2016
20,Viveca LINDFORS,FIN,152.93,23,50.18,16,102.75,2016-04-03,wc2016
21,Amy LIN,TPE,146.55,14,57.5,22,89.05,2016-04-03,wc2016
22,Niki WORIES,NED,140.87,24,49.86,21,91.01,2016-04-03,wc2016
23,Ziquan ZHAO,CHN,139.67,21,52.8,23,86.87,2016-04-03,wc2016
24,Anastasia GALUSTYAN,ARM,136.07,20,53.24,24,82.83,2016-04-03,wc2016
25,Mae Berenice MEITE,FRA,49.5,25,49.5,DNQ,DNQ,2016-04-03,wc2016
26,Anne Line GJERSEM,NOR,49.39,26,49.39,DNQ,DNQ,2016-04-03,wc2016
27,Kailani CRAINE,AUS,48.86,27,48.86,DNQ,DNQ,2016-04-03,wc2016
28,Ivett TOTH,HUN,47.92,28,47.92,DNQ,DNQ,2016-04-03,wc2016
29,Eliska BREZINOVA,CZE,47.75,29,47.75,DNQ,DNQ,2016-04-03,wc2016
30,Joshi HELGESSON,SWE,47.67,30,47.67,DNQ,DNQ,2016-04-03,wc2016
31,Laurine LECAVELIER,FRA,46.92,31,46.92,DNQ,DNQ,2016-04-03,wc2016
32,Kerstin FRANK,AUT,46.77,32,46.77,DNQ,DNQ,2016-04-03,wc2016
33,Aleksandra GOLOVKINA,LTU,44.58,33,44.58,DNQ,DNQ,2016-04-03,wc2016
34,Yasmine Kimiko YAMADA,SUI,43.65,34,43.65,DNQ,DNQ,2016-04-03,wc2016
35,Nathalie WEINZIERL,GER,43.25,35,43.25,DNQ,DNQ,2016-04-03,wc2016
36,Kristen SPOURS,GBR,42.64,36,42.64,DNQ,DNQ,2016-04-03,wc2016
37,Sonia LAFUENTE,ESP,39.99,37,39.99,DNQ,DNQ,2016-04-03,wc2016
38,Dasa GRM,SLO,37.95,38,37.95,DNQ,DNQ,2016-04-03,wc2016
