Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgenia MEDVEDEVA,RUS,206.01,1,70.92,2,135.09,2015-10-25,gpusa2015
2,Gracie GOLD,USA,202.8,2,65.39,1,137.41,2015-10-25,gpusa2015
3,Satoko MIYAHARA,JPN,188.07,3,65.12,3,122.95,2015-10-25,gpusa2015
4,Elizabet TURSYNBAEVA,KAZ,178.56,7,59.26,4,119.3,2015-10-25,gpusa2015
5,Karen CHEN,USA,172.54,4,62.28,6,110.26,2015-10-25,gpusa2015
6,Julia LIPNITSKAIA,RUS,170.63,5,62.24,7,108.39,2015-10-25,gpusa2015
7,Nicole RAJICOVA,SVK,167.32,12,50.33,5,116.99,2015-10-25,gpusa2015
8,Mariah BELL,USA,160.94,11,52.73,8,108.21,2015-10-25,gpusa2015
9,So Youn PARK,KOR,159.66,10,53.78,9,105.88,2015-10-25,gpusa2015
10,Haruka IMAI,JPN,158.65,9,56.52,10,102.13,2015-10-25,gpusa2015
11,Miyu NAKASHIO,JPN,153.29,8,57.01,11,96.28,2015-10-25,gpusa2015
12,Alaine CHARTRAND,CAN,148.2,6,59.4,12,88.8,2015-10-25,gpusa2015
