Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Daisuke TAKAHASHI,JPN,228.97,1,80.04,2,148.93,2007-10-28,gpusa07
2,Evan LYSACEK,USA,220.08,2,67.7,1,152.38,2007-10-28,gpusa07
3,Patrick CHAN,CAN,213.33,3,67.47,3,145.86,2007-10-28,gpusa07
4,Stephen CARRIERE,USA,196.33,6,66.85,4,129.48,2007-10-28,gpusa07
5,Alban PREAUBERT,FRA,194.4,4,67.05,5,127.35,2007-10-28,gpusa07
6,Ryan BRADLEY,USA,181.66,8,58.69,6,122.97,2007-10-28,gpusa07
7,Andrei LUTAI,RUS,180.88,5,66.91,8,113.97,2007-10-28,gpusa07
8,Takahiko KOZUKA,JPN,177.47,10,56.25,7,121.22,2007-10-28,gpusa07
9,Kevin REYNOLDS,CAN,169.12,7,59.25,9,109.87,2007-10-28,gpusa07
10,Yasuharu NANRI,JPN,153.99,9,57.84,12,96.15,2007-10-28,gpusa07
11,Kristoffer BERNTSSON,SWE,152.52,11,54.15,10,98.37,2007-10-28,gpusa07
12,Karel ZELENKA,ITA,144.51,12,46.14,11,98.37,2007-10-28,gpusa07
