Skate America,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",,Total Total,,Total,Total
"",NOC,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
"",Code,Score Score,,Score (factored),
"",,= +,,+,-
1 Jessica DUBE / Bryce DAVISON,CAN,60.80  35.28,,25.52,0.00
"# Executed Base",GOE,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3S  4.50,-1.40 -2 -1 -1 -2,-2 -1 -1 -1,,-1 -2 - -,3.10
2 2LzTw3  4.00,0.50 0 1 2 0,-2 2 1 0,,1 2 - -,4.50
3 5ALi3  6.00,1.40 1 1 1 1,2 2 2 1,,2 2 - -,7.40
4 3LoTh  5.00,-0.56 -1 -1 0 -1,-1 0 -1 -1,,0 -1 - -,4.44
5 FCCoSp4  3.50,0.20 0 -1 0 1,1 1 0 0,,1 1 - -,3.70
6 SlSt3  3.10,0.30 0 0 1 0,1 1 1 0,,1 1 - -,3.40
7 BiDs3  3.20,0.84 1 1 2 1,2 1 1 1,,1 0 - -,4.04
8 PCoSp4  4.50,0.20 0 1 1 -3,1 0 2 0,,1 0 - -,4.70
33.80,,,,,35.28
Program Components,Factor,,,,
Skating Skills,0.80 6.25 6.00 6.25 7.00,6.75 6.50 6.00 6.00,,6.75 6.75 - -,6.35
Transition / Linking Footwork,0.80 6.00 5.75 6.00 6.25,6.50 6.75 5.50 5.75,,6.50 6.50 - -,6.15
Performance / Execution,0.80 6.00 5.75 7.00 6.75,6.75 6.50 6.25 6.25,,6.50 6.75 - -,6.45
Choreography / Composition,0.80 5.75 6.00 6.75 6.75,7.25 7.00 6.25 6.00,,7.00 6.50 - -,6.45
Interpretation,0.80 6.00 5.75 6.75 6.50,7.25 7.00 6.50 6.00,,6.75 6.75 - -,6.50
Judges Total Program Component Score (factored),,,,,25.52
Deductions:,,,,,0.00
e  Jump take off with wrong edge,,,,,
"",,Total Total,,Total,Total
"",NOC,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
"",Code,Score Score,,Score (factored),
"",,= +,,+,-
2 Qing PANG / Jian TONG,CHN,60.32  32.56,,27.76,0.00
"# Executed Base",GOE,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3T  4.00,-1.40 -2 -1 -1 -2,-2 -2 -1 -1,,-2 -1 - -,2.60
2 3LzTw1  5.00,0.56 1 1 2 2,0 1 2 0,,2 1 - -,5.56
3 3LoTh  5.00,0.14 -1 1 1 -1,0 0 1 0,,2 0 - -,5.14
4 FCCoSp2  2.50,0.10 0 1 0 -1,-1 1 1 0,,1 0 - -,2.60
5 CiSt1  1.80,0.40 1 1 1 0,0 2 1 0,,1 1 - -,2.20
6 5ALi3  6.00,1.60 1 1 2 1,2 1 1 2,,0 2 - -,7.60
7 BiDs2  3.00,0.56 1 1 1 0,1 0 0 0,,0 1 - -,3.56
8 PCoSp1  3.00,0.30 0 1 1 0,0 1 1 1,,0 0 - -,3.30
30.30,,,,,32.56
Program Components,Factor,,,,
Skating Skills,0.80 7.25 7.00 7.75 7.25,6.75 7.25 7.75 6.75,,7.25 6.75 - -,7.00
Transition / Linking Footwork,0.80 7.00 7.00 7.50 6.50,6.25 7.25 7.00 6.50,,6.75 6.50 - -,6.85
Performance / Execution,0.80 7.00 7.00 7.75 6.25,6.00 7.00 7.50 6.75,,7.00 6.50 - -,6.85
Choreography / Composition,0.80 7.25 7.00 8.00 6.50,7.00 7.25 7.75 6.75,,7.00 6.75 - -,7.05
Interpretation,0.80 7.50 6.75 7.75 6.75,6.50 7.00 7.75 6.75,,6.75 6.75 - -,6.95
Judges Total Program Component Score (factored),,,,,27.76
Deductions:,,,,,0.00
e  Jump take off with wrong edge,,,,,
Skate America,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Vera BAZAROVA / Yuri LARIONOV,RUS,56.76  32.64,,,24.12,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw1  5.00,0.70 1 1 1 1,0 1 1 1,,1,2 - -,5.70
2 2A  3.50,0.00 0 0 0 0,0 1 0 0,,0,0 - -,3.50
3 3TTh  4.50,0.56 0 1 0 1,2 1 1 0,,1,2 - -,5.06
4 FCCoSp4  3.50,0.00 0 0 0 0,0 0 1 0,,1,0 - -,3.50
5 5TLi2  5.00,0.20 0 0 0 0,1 1 1 0,,0,1 - -,5.20
6 BiDs1  2.80,0.28 0 1 -1 0,0 1 0 0,,0,2 - -,3.08
7 SlSt1  1.80,0.10 0 1 0 0,1 0 1 0,,0,0 - -,1.90
8 PCoSp4  4.50,0.20 0 1 0 0,0 1 1 1,,0,0 - -,4.70
30.60,,,,,,32.64
Program Components,Factor,,,,,
Skating Skills,0.80 6.00 6.50 5.75 7.00,6.50 5.75 7.00 6.00,,5.75,6.50 - -,6.15
Transition / Linking Footwork,0.80 6.00 6.00 5.00 6.25,6.25 5.25 6.50 6.00,,5.25,6.00 - -,5.85
Performance / Execution,0.80 6.25 6.25 5.25 6.75,6.50 5.00 7.25 6.25,,5.50,6.50 - -,6.10
Choreography / Composition,0.80 6.00 6.00 5.75 6.50,6.75 5.25 7.00 6.25,,5.25,6.50 - -,6.10
Interpretation,0.80 6.25 6.00 5.00 6.50,6.75 5.00 7.25 6.25,,5.25,6.25 - -,5.95
Judges Total Program Component Score (factored),,,,,,24.12
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
4 Amanda EVORA / Mark LADWIG,USA,46.18  26.94,,,21.24,2.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw1  5.00,-0.42 0 0 0 -2,-2 -2 -1 0,,-2,-1 - -,4.58
2 5ALi4  6.50,0.00 0 0 0 0,0 0 1 1,,0,0 - -,6.50
3 3LzTh  5.50,-2.00 -3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,3.50
4 3S<  1.30,-1.00 -3 -3 -3 -3,-3 -3 -3 -2,,-3,-3 - -,0.30
5 BiDs2  3.00,-0.42 0 0 -1 -2,-1 -1 0 0,,-1,-1 - -,2.58
6 SlSt3  3.10,0.00 0 0 0 -1,0 0 0 0,,0,0 - -,3.10
7 FCCoSp2  2.50,-0.06 0 -1 0 0,0 -2 0 0,,-1,0 - -,2.44
8 PCoSp3  4.00,-0.06 0 0 0 -1,-1 -1 0 0,,0,0 - -,3.94
30.90,,,,,,26.94
Program Components,Factor,,,,,
Skating Skills,0.80 5.50 5.00 5.00 6.25,6.50 4.75 5.75 5.50,,5.25,5.50 - -,5.30
Transition / Linking Footwork,0.80 5.50 4.75 6.00 5.50,5.75 5.50 5.00 5.75,,4.75,5.00 - -,5.50
Performance / Execution,0.80 5.25 5.25 5.00 5.50,4.50 5.00 5.50 5.50,,4.75,4.75 - -,5.05
Choreography / Composition,0.80 5.25 5.00 5.75 5.75,6.75 5.00 5.75 5.50,,5.00,5.50 - -,5.40
Interpretation,0.80 5.50 5.00 4.75 5.75,5.75 4.75 5.75 5.75,,5.00,5.50 - -,5.30
Judges Total Program Component Score (factored),,,,,,21.24
Deductions:,Falls: -2.00,,,,,-2.00
e  Jump take off with wrong edge,,,,,,
Skate America,,,,,,
