Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,192.95,1,36.03,1,59.24,1,97.68,2007-10-28,gpusa07
2,Nathalie PECHALAT / Fabian BOURZAT,FRA,181.84,2,34.56,2,56.95,2,90.33,2007-10-28,gpusa07
3,Federica FAIELLA / Massimo SCALI,ITA,172.28,3,31.43,3,54.56,3,86.29,2007-10-28,gpusa07
4,Meryl DAVIS / Charlie WHITE,USA,168.79,5,30.16,4,52.84,4,85.79,2007-10-28,gpusa07
5,Kristin FRASER / Igor LUKANIN,AZE,167.8,4,31.19,5,51.23,5,85.38,2007-10-28,gpusa07
6,Kimberly NAVARRO / Brent BOMMENTRE,USA,159.93,6,27.9,6,51.13,6,80.9,2007-10-28,gpusa07
7,Alexandra ZARETSKI / Roman ZARETSKI,ISR,157.85,7,27.8,7,51.12,8,78.93,2007-10-28,gpusa07
8,Ekaterina RUBLEVA / Ivan SHEFER,RUS,151.58,8,26.95,8,45.46,7,79.17,2007-10-28,gpusa07
9,Cathy REED / Chris REED,JPN,142.63,9,26.47,9,43.79,9,72.37,2007-10-28,gpusa07
10,Xiaoyang YU / Chen WANG,CHN,135.29,10,22.14,10,43.19,10,69.96,2007-10-28,gpusa07
