Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Marie-France DUBREUIL / Patrice LAUZON,CAN,198.59,1,38.54,2,59.32,1,100.73,2007-02-10,fc2007
2,Tanith BELBIN / Benjamin AGOSTO,USA,196.98,2,37.72,1,60.45,2,98.81,2007-02-10,fc2007
3,Tessa VIRTUE / Scott MOIR,CAN,184.89,4,33.41,3,57.49,3,93.99,2007-02-10,fc2007
4,Meryl DAVIS / Charlie WHITE,USA,179.69,3,33.68,4,54.66,4,91.35,2007-02-10,fc2007
5,Kimberly NAVARRO / Brent BOMMENTRE,USA,157.82,6,29.37,5,48.44,5,80.01,2007-02-10,fc2007
6,Lauren SENFT / Leif GISLASON,CAN,149.39,5,29.7,6,46.34,7,73.35,2007-02-10,fc2007
7,Cathy REED / Chris REED,JPN,144.17,7,27.42,9,40.88,6,75.87,2007-02-10,fc2007
8,Xintong HUANG / Xun ZHENG,CHN,137.07,8,24.61,7,41.71,8,70.75,2007-02-10,fc2007
9,Xiaoyang YU / Chen WANG,CHN,131.28,10,22.47,8,41.56,9,67.25,2007-02-10,fc2007
10,Olga AKIMOVA / Alexander SHAKALOV,UZB,126.71,9,22.91,10,37.44,10,66.36,2007-02-10,fc2007
11,Laura MUNANA / Luke MUNANA,MEX,115.46,11,21.07,11,36.35,11,58.04,2007-02-10,fc2007
12,Maria BOROUNOV / Evgeni BOROUNOV,AUS,83.52,12,12.95,12,24.15,12,46.42,2007-02-10,fc2007
