MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Evan LYSACEK,USA,,159.23  84.43,,,74.80,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T+3T  13.00  0.43,1 0 2,-1,1 0 1 0,,0,-1 1 0,13.43
2 3A  7.50 -1.00,-1 -1 -1,-1,-1 -1 -1 -2,,-1,-1 -1 -1,6.50
3 3Lo  5.00  0.71,1 1 1,0,1 1 0 1,,0,1 0 1,5.71
4 3S  4.50  0.14,0 0 1,0,0 1 0 0,,0,0 0 0,4.64
5 FCSSp4  3.00  0.50,1 1 2,1,1 1 1 1,,0,1 1 1,3.50
6 FSSp3  2.30  0.21,1 0 0,1,1 0 0 0,,0,0 1 1,2.51
7 3A+3T  12.65 x  1.00,0 0 2,1,2 2 1 1,,0,0 0 0,13.65
8 3F+2T+2Lo  9.13 x  0.43,0 1 1,0,1 1 0 1,,0,0 1 0,9.56
9 CiSt3  3.10  0.21,1 0 0,0,1 0 0 1,,0,0 1 1,3.31
10 3Lz  6.60 x  0.71,1 0 2,0,1 1 1 1,,0,1 0 0,7.31
11 2A  3.63 x  0.29,0 0 1,1,0 1 0 0,,0,0 -1 0,3.92
12 CCoSp4  3.50  0.29,2 0 0,0,1 1 0 0,,0,0 0 2,3.79
13 SlSt3  3.10  0.64,2 1 2,0,1 3 0 2,,0,1 2 2,3.74
14 CCoSp2  2.50  0.36,1 1 1,1,1 2 0 0,,0,1 1 1,2.86
79.51,,,,,,,84.43
Program Components Factor,,,,,,,
Skating Skills  2.00,7.75 7.50 7.75,6.75,6.75 7.00 7.75 8.00,,7.50,6.75 7.25 7.25,7.39
Transition / Linking Footwork  2.00,7.50 7.00 7.50,6.25,6.50 7.00 7.50 7.25,,7.00,6.00 6.25 7.00,7.11
Performance / Execution  2.00,8.00 7.25 7.75,6.75,7.50 7.25 7.75 8.50,,7.50,6.50 7.25 8.00,7.68
Choreography / Composition  2.00,7.75 7.25 7.50,6.75,7.50 7.25 7.75 8.00,,7.25,6.25 7.00 7.75,7.54
Interpretation  2.00,8.00 7.50 7.75,6.50,7.75 7.50 7.50 7.75,,7.50,7.00 7.25 8.25,7.68
Judges Total Program Component Score (factored),,,,,,,74.80
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Jeffrey BUTTLE,CAN,,146.24  71.94,,,74.30,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lo  5.00  1.57,2 2 1,2,2 2 1 2,,1,1 2 1,6.57
2 2A  3.30  0.00,0 0 0,0,0 0 0 0,,0,1 1 1,3.30
3 CUSp4  3.00  0.43,1 1 1,1,1 1 0 2,,0,1 1 1,3.43
4 3F+3T  9.50  0.14,1 0 0,0,0 1 0 0,,0,-1 0 -1,9.64
5 FSSp4  3.00  0.21,0 0 0,1,1 1 0 1,,0,1 1 0,3.21
6 CiSt3  3.10  0.86,2 2 2,2,1 2 1 2,,1,2 2 2,3.96
7 3Lz+2T+2Lo  9.68 x  0.86,1 1 1,1,1 2 1 1,,0,0 1 0,10.54
8 1A  0.88 x  0.07,0 0 0,0,0 1 0 0,,0,0 0 1,0.95
9 3S  4.95 x  0.86,0 0 1,2,1 2 0 1,,0,1 1 1,5.81
10 CoSp4  3.00  0.21,0 1 0,1,1 1 0 1,,0,1 1 0,3.21
11 3F  6.05 x  0.29,-1 0 0,1,1 2 0 0,,0,-1 0 0,6.34
12 SlSt3  3.10  0.57,1 1 1,2,2 2 0 1,,0,2 2 1,3.67
13 3Lz  6.60 x  1.14,1 1 1,2,2 2 0 1,,0,0 1 1,7.74
14 CCoSp3  3.00  0.57,1 2 1,1,1 2 1 2,,0,1 2 1,3.57
64.16,,,,,,,71.94
Program Components Factor,,,,,,,
